delta_B,1_A_1_0,1_A_1_1,1_A_1_2,1_A_1_3,1_A_1_4,1_A_2_0,1_A_2_1,1_E_0,1_E_1,1_E_2,1_E_3,1_E_4,1_T_1_0,1_T_1_1,1_T_1_2,1_T_1_3,1_T_2_0,1_T_2_1,1_T_2_2,1_T_2_3,1_T_2_4,1_T_2_5,1_T_2_6,3_A_1,3_A_2_0,3_A_2_1,3_E_0,3_E_1,3_E_2,3_T_1_0,3_T_1_1,3_T_1_2,3_T_1_3,3_T_1_4,3_T_1_5,3_T_1_6,3_T_2_0,3_T_2_1,3_T_2_2,3_T_2_3,3_T_2_4,5_E,5_T_2
0.0,34.84507042253522,37.40779389338225,43.080186044066835,66.70488216295577,115.07004869771725,34.84507042253521,49.84507042253521,34.845070422535194,37.40779389338225,44.54965088794053,66.7048821629558,87.5630251683975,34.8450704225352,37.407793893382234,49.84507042253521,66.70488216295576,34.845070422535215,34.84507042253524,37.40779389338226,44.54965088794053,49.84507042253521,66.7048821629558,87.56302516839752,28.230046948356808,26.68472907001388,58.197900037967344,23.230046948356808,28.230046948356808,35.23004694835681,23.230046948356797,23.230046948356808,26.59337115247859,26.68472907001388,28.230046948356815,58.19790003796737,58.2892579555026,23.23004694835681,26.684729070013876,28.230046948356808,35.23004694835681,58.197900037967344,0.0,0.0
0.03759628172773713,34.830814796262295,37.39159278645354,43.095423816171,66.74263409335344,115.08511201014478,34.87513234810046,49.8526047786977,34.885929626487,37.41843230397415,44.589723160702235,66.72320064033751,87.56592564889354,34.83792497669436,37.40731743556969,49.86388446595139,66.73128630492073,34.845902837959265,34.88326999498706,37.45222409344741,44.54800090105031,49.85889649180147,66.69887881667769,87.58617908954172,28.267643230084545,26.715703090481643,58.204522299227314,23.260088042794244,28.24830760067281,35.256937765058844,23.22524648216731,23.26451414816667,26.604002804027765,26.696240176008516,28.256703594102877,58.21561317359078,58.30586752815219,23.23495671216161,26.702388827103885,28.2242370064519,35.23720713149065,58.21157655757135,0.03759628172773658,0.0
0.07519256345547426,34.81538803717456,37.37607617917022,43.111055932369936,66.78042868178714,115.10022495361092,34.90516398310998,49.86016942541592,34.9264734062284,37.42929871140074,44.62980100577004,66.74159587711911,87.56883122505943,34.83016352184336,37.40738584973381,49.88273033984385,66.7577297534429,34.84661405665435,34.9212766313806,37.4967868104571,44.54634876427169,49.87280466394401,66.69293375981077,87.60937638412965,28.30523951181228,26.746664072879014,58.211157598557676,23.290056782700336,28.266568235566094,35.283900953714934,23.220148562638073,23.298453695494892,26.606964187263358,26.71549466828908,28.284043588267195,58.23028206661742,58.32558998282928,23.239661488149636,26.71996889705547,28.218629960794708,35.24436564001087,58.22533653049644,0.07519256345547316,0.0
0.11278884518321139,34.79878788704497,37.36125321891151,43.127076190431055,66.81826519388623,115.1153875755667,34.93516519084191,49.86776449941173,34.96669322409242,37.440402049609055,44.66988369129179,66.76006819373896,87.57174191202868,34.82179186638941,37.40799345338945,49.901608082842415,66.78421234397041,34.84720909286639,34.95909175079574,37.54147391796346,44.544695301895246,49.886795800778266,66.68704701446728,87.63261703706497,28.34283579354002,26.777611986942823,58.217805966221604,23.319952425687852,28.284830027230623,35.31093608251838,23.214753772965228,23.331858206443858,26.605350634792423,26.73939748658405,28.312073407024155,58.24234665256262,58.347985436210216,23.244163015387162,26.73745663822202,28.213236404723126,35.25152300463499,58.23917973526755,0.11278884518320974,0.0
0.15038512691094852,34.78101436150712,37.347130690330076,43.14347846915032,66.8561429029817,115.13059992359906,34.965135834124005,49.87539013785736,35.00658032603777,37.45175146365746,44.70997049023297,66.77861791100617,87.57465772500977,34.812816518320545,37.409133863058905,49.920517734316434,66.81073391262348,34.84769267629369,34.996716762815566,37.58627756649176,44.543041348828815,49.900870771268224,66.6812186019469,87.65590103336963,28.380432075267755,26.808546802348825,58.22446743254335,23.34977422489203,28.303094154905065,35.33804271909522,23.209062613250076,23.36472038584111,26.601574497011114,26.765537680046528,28.340798392198646,58.252485244371954,58.372375629046275,23.248463030847386,26.754838883137175,28.20806745685305,35.25867975939761,58.25310594972737,0.15038512691094633,0.0
0.18798140863868562,34.762069758530714,37.3337130057105,43.16025672962078,66.89406109000488,115.14586204542911,34.99507577533589,49.88304647837321,35.04612574949529,37.463356301999184,44.75006068026368,66.79724535008302,87.57757867928613,34.803244644787355,37.410800034721255,49.939459334345436,66.83729429619306,34.848069269613376,35.034153065506686,37.63119016791233,44.541387750774945,49.91503045146051,66.67544854274733,87.67922835818256,28.41802835699549,26.839468488711745,58.231142027908156,23.37952142908605,28.321361802672747,35.36522043058899,23.203075510291036,23.397033054846386,26.596884885613534,26.79266869883315,28.37022267877594,58.261307721492756,58.39815073709615,23.252563267669323,26.772101926491043,28.203134774815858,35.265836441662024,58.267114951052065,0.1879814086386829,0.0
0.22557769036642278,34.74195864156722,37.321002220928555,43.17740501622931,66.93201904338771,115.16117398891083,35.02498487641132,49.89073365902552,35.085320333220054,37.47522610675665,44.790153543649204,66.81595083246734,87.58050479021723,34.793084028627284,37.41298430731859,49.958432923690154,66.86389333213883,34.848343084921936,35.07140204348868,37.67620438081119,44.53973536441079,49.92927572441464,66.66973685657545,87.7025989967583,28.455624638723226,26.870377015585266,58.237829782762375,23.409193282802278,28.339634159256963,35.39246878374402,23.196792827299593,23.428789180499813,26.591892038134457,26.820184048865023,28.40034913633031,58.26925436723878,58.424870533764164,23.25646545349672,26.78923151572233,28.198450566300025,35.272993592132075,58.281206515766904,0.2255776903664229,0.0
0.2631739720941599,34.72068779782061,37.30899807653356,43.194917457403726,66.97001605896436,115.17653580202924,35.05486299884058,49.898451818324,35.12415472932197,37.48737060181421,44.830248367144065,66.83473467997472,87.58343607323883,34.78234302242541,37.41567844872548,49.97743854376415,66.89053085858754,34.8485180991438,35.10846506609294,37.72131309680386,44.53808505757008,49.943607480129586,66.66408356235834,87.72601293446557,28.493220920450963,26.901272352462065,58.24453072761331,23.438789026459606,28.357912417811693,35.41978734498744,23.190214873518087,23.45998190713799,26.586910805227806,26.847773807155715,28.431179325381464,58.2766167956929,58.45224346320139,23.260171308897277,26.80621284493317,28.194027596689697,35.28015175486389,58.29538041976176,0.2631739720941595,0.0
0.30077025382189704,34.6982661727364,37.29769806283897,43.21278826613146,67.00805143987347,115.19194753289896,35.08471000367295,49.90620109521938,35.162619417644684,37.49979967855892,44.87034444188968,66.85359721471995,87.58637254386372,34.771030500711255,37.418873703582015,49.99647623660568,66.91720671433141,34.848598068463104,35.145343485611654,37.766509427737745,44.53643770942776,49.95802661546631,66.65848867825447,87.7494701567864,28.530817202178707,26.93215446877383,58.251244893029295,23.468307896496853,28.376197775707553,35.44717568050982,23.183341913716884,23.49060458957014,26.58211669943843,26.875268558386466,28.46271346937043,58.28358406589883,58.480080526117426,23.263682545862167,26.823030552926337,28.189879192500705,35.28731147727768,58.309636438306654,0.3007702538218995,0.0
0.33836653554963414,34.674704782388666,37.287097507322216,43.23101174027056,67.04612449646265,115.20740922976283,35.114525751519196,49.91398162910086,35.20070472265678,37.512523379106476,44.91044106331561,66.87253875909897,87.58931421768231,34.75915581088465,37.42256084239721,50.01554604485003,66.94392073882621,34.84858654183282,35.18203863563664,37.81178669372836,44.53479421068681,49.97253403406641,66.6529522216652,87.77297064931436,28.568413483906443,26.963023333891268,58.257972309639584,23.49774912551234,28.39449143431292,35.47463335634444,23.176174177548624,23.520650827870416,26.577615117476814,26.902570140547986,28.49495044259324,58.29027976865995,58.508258192984776,23.267000866385338,26.8396687262572,28.186019239721944,35.29447331016962,58.32397434606718,0.338366535549636,0.0
