10Dq,3_T_1_0,3_T_1_1,3_T_1_2,3_T_1_3,3_T_1_4,3_T_1_5,3_T_1_6,1_T_2_0,1_T_2_1,1_T_2_2,1_T_2_3,1_T_2_4,1_T_2_5,1_T_2_6,1_A_1_0,1_A_1_1,1_A_1_2,1_A_1_3,1_A_1_4,1_E_1_0,1_E_1_1,1_E_1_2,1_E_1_3,1_E_1_4,3_T_2_0,3_T_2_1,3_T_2_2,3_T_2_3,3_T_2_4,1_T_1_0,1_T_1_1,1_T_1_2,1_T_1_3,3_E_1_0,3_E_1_1,3_E_1_2,3_A_2_0,3_A_2_1,1_A_2_0,1_A_2_1,5_E_1,5_T_2,3_A_1
0.0,24742.079999999998,24742.080000000005,28324.543774487454,28421.59095953706,30067.079999999994,61984.12904046293,62081.176225512536,37113.11999999999,37113.119999999995,39842.86974528925,47448.79904391599,53088.119999999995,71044.93025471075,93259.000956084,37113.119999999995,39842.86974528927,45884.255734514634,71044.93025471078,122556.14426548537,37113.11999999998,39842.86974528925,47448.79904391599,71044.93025471074,93259.00095608397,24742.079999999998,28421.590959537058,30067.079999999998,37522.08,61984.12904046294,37113.119999999995,39842.86974528925,53088.119999999995,71044.93025471074,24742.079999999998,30067.079999999998,37522.08,28421.590959537058,61984.12904046294,37113.119999999995,53088.119999999995,0.0,0.0,30067.079999999998
40.04004004004004,24736.96752643874,24778.787591959703,28335.855119879016,28433.86123669699,30095.4694243019,62002.98961460783,62098.86960623595,37114.00653275708,37153.80255879979,39890.18728467851,47447.04182347119,53102.84476779688,71038.53728719764,93283.65986541903,37097.937875655734,39825.61610891642,45900.48394300461,71085.13541952155,122572.18669294172,37156.63507775886,39854.199719664815,47491.47599031763,71064.4393399887,93262.0899923901,24747.308907105966,28440.398667037232,30060.89242660827,37529.70559713187,61998.6944421567,37105.51016147886,39842.36257616433,53108.156958040614,71073.05034435622,24774.073765575868,30086.527594716543,37550.71871978766,28454.57883167852,61991.18120836152,37145.13595072698,53096.14408931305,40.04004004003946,0.0,30107.120040040038
80.08008008008008,24731.538310725824,24814.93328314748,28338.984339778748,28454.391220645764,30124.58680784097,62018.600650887165,62119.88562721427,37114.7640104215,37194.279668507435,39937.645903080804,47445.2823119416,53117.65698322105,71032.20639630838,93308.36496675955,37081.50873110916,39809.09126195423,45917.132091108506,71125.38601901592,122588.28197689226,37199.81428195246,39865.77245905608,47534.15887201289,71084.03017146116,93265.18445575763,24752.319519299796,28459.12145825653,30054.920969344203,37537.32941499277,62013.34871818677,37097.24439472384,39842.43557082757,53128.227819131585,71101.21229539705,24805.990473575857,30105.97517087789,37579.43451570641,28487.552819529414,61998.24726055066,37177.11964201212,53104.20043806795,80.08008008007891,0.0,30147.160080080077
120.12012012012013,24725.792973672404,24850.509210891632,28337.24359982147,28479.869035648015,30154.439046998166,62031.43451237195,62143.75198095674,37115.39777142576,37234.55283974095,39985.2369482309,47443.52138722048,53132.55756411656,71025.93760559903,93333.11624402665,37063.83016175639,39793.304944859716,45934.19357455829,71165.68127107891,122604.43016786678,37242.648523235075,39877.59747489154,47576.846909554915,71103.7030903734,93268.28436230538,24757.11368839229,28477.74586669748,30049.176913526197,37544.95201880273,62028.09163270142,37088.32888350704,39843.0826796272,53148.332624396215,71129.41593258963,24837.82933335756,30125.42397900061,37608.22692788207,28520.512890862006,62005.32722925811,37209.07092824663,53112.28919187348,120.12012012011837,0.0,30187.20012012012
160.16016016016016,24719.73204761192,24885.507606984902,28333.206018393656,28507.72305475959,30185.031829021624,62042.21737743187,62169.74254627685,37115.912851304,37274.62357300364,40032.952062695076,47441.75993850932,53147.54743594008,71019.73093776053,93357.91368126788,37044.902183241,39778.264383230344,45951.661875351434,71206.02040179774,122620.63131653961,37285.128481940905,39889.68450331376,47619.53932862863,71123.45843836534,93271.38972823179,24761.693263962567,28496.257865607637,30043.67210415297,37552.57397731456,62042.92294912241,37078.770556242016,39844.29710676655,53168.47141574543,71157.66108140617,24869.589549510012,30144.875274973892,37637.09549583641,28553.459013383508,62012.42114677664,37240.989663342065,53120.41049681808,160.16016016015783,0.0,30227.24016016016
200.2002002002002,24713.355986824557,24919.920827076483,28328.200547819,28536.62705606066,30216.369554787976,62051.60056288478,62197.20606514715,37116.314001345876,37314.493356534826,40080.783167237736,47439.99886650672,53162.62753169064,71013.58641462983,93382.75726265491,37024.72724048674,39763.974277529356,45969.530563102366,71246.40264535366,122636.88547372818,37327.24461643401,39902.04349696802,47662.23535993024,71143.296557453,93274.50056981533,24766.060091504467,28514.642855165945,30038.418960541716,37560.19586282631,62057.84243016174,37068.57704296994,39846.07135335083,53188.64423584636,71185.947568033,24901.27032197664,30164.330319846475,37666.03975857727,28586.391154736135,62019.52904546406,37272.87570073272,53128.564499467466,200.2002002001973,0.0,30267.2802002002
240.24024024024027,24706.66517788072,24953.74138213046,28322.875427171388,28565.93679042983,30248.455276409568,62060.053305902,62225.67336079674,37116.60570609484,37354.16366425519,40128.72244525049,47438.23908360004,53177.79879183542,71007.50405720205,93407.64697248269,37003.31018977924,39750.43682005001,45987.79329610409,71286.8272439159,122653.19269039098,37368.98717359218,39914.68461465291,47704.93423905062,71163.21779000977,93277.6169034152,24770.216010657994,28532.885652457633,30033.430488092486,37567.818251193814,62072.84983783829,37057.75662909272,39848.397263686784,53208.85112809185,71214.2752193689,24932.870846184425,30183.79037960867,37695.05925468738,28619.3092824971,62026.65095774314,37304.72889337805,53136.75134686218,240.24024024024038,0.0,30307.32024024024
280.2802802802803,24699.659949879973,24986.961971872624,28317.564830835436,28595.32333576608,30281.29065076256,62067.8859174269,62254.83418429726,37116.792199748044,37393.63595380701,40176.76232818524,47436.481514059284,53193.06216423133,71001.48388564191,93432.58279516807,36980.658254381095,39737.65173861133,46006.44382212466,71327.29344753682,122669.5530176264,37410.34620160905,39927.61820864974,47747.63520636268,71183.2224787472,93280.73874547223,24774.162853526414,28550.9704849912,30028.720286425138,37575.44172184322,62087.9449334943,37046.31820648439,39851.26607420333,53229.09213656975,71242.64386302282,24964.39031317948,30203.25672496945,37724.15352241162,28652.21336417862,62033.78691610166,37336.549093765214,53144.97118651505,280.28028028027984,0.0,30347.360280280278
320.3203203203203,24692.34058456166,25019.575520111226,28312.454961388947,28624.606988485484,30314.87590967274,62075.299354559786,62284.48764218109,37116.877481516996,37432.911664690975,40224.89548193275,47434.727094233756,53208.41860404267,70995.52591929583,93457.56471524802,36956.78095484199,39725.61636579962,46025.47597895985,71367.80051404798,122685.96650667088,37451.31156529468,39940.85480954943,47790.33750691221,71203.31096669566,93283.86611250896,24777.902443078652,28568.880988609882,30024.302553036247,37583.06685778358,62103.127477811955,37034.27122261894,39854.66846435546,53249.36730603341,71271.05332731247,24995.827909769145,30222.73063112854,37753.32209974296,28685.10336722798,62040.93695309234,37368.33615391169,53153.22416640863,320.32032032032294,0.0,30387.40032032032
360.36036036036035,24684.707326263295,25051.575211777978,28307.657612986495,28653.683665931945,30349.20984711793,62082.42488256992,62314.502534433515,37116.865330006294,37471.99221649789,40273.1147940885,47432.97677275091,53223.86907365448,70989.63017670429,93482.59271737881,36931.69001579054,39714.3257319492,46044.883694765245,71408.34770895826,122702.43320889707,37491.872964049304,39954.40510840343,47833.040390312744,71223.48359718474,93286.99902113085,24781.436591636895,28586.600210748984,30020.192081525223,37590.69424561945,62118.39723082981,37021.6256283455,39858.59460888052,53269.67668187196,71299.50344126234,25027.18281867064,30242.213377543256,37782.56452450683,28717.979259027514,62048.10110133285,37400.08992536794,53161.51043499241,360.3603603603624,0.0,30427.44036036036
