state,cm,eV
5_E_1,0,0.0000
3_T_1,2285,0.2742
1_T_2,14548,1.7457
1_E_1,15865,1.9038
3_E_1,22645,2.7175
3_T_1,23832,2.8598
5_T_2,24000,2.8800
3_T_2,24862,2.9835
1_A_1,26294,3.1553
3_A_1,26483,3.1780
3_A_2,27432,3.2918
3_E_1,30564,3.6677
1_A_2,34387,4.1265
1_T_2,34572,4.1487
1_T_1,37389,4.4867
1_E_1,39801,4.7762
3_T_1,39814,4.7777
3_T_2,42051,5.0461
3_T_1,47130,5.6556
3_T_2,48919,5.8703
3_E_1,52171,6.2605
1_A_1,52428,6.2914
3_T_2,53789,6.4547
1_T_1,54503,6.5404
1_T_2,56035,6.7242
1_T_2,57260,6.8712
3_T_1,57720,6.9264
1_E_1,58902,7.0683
1_A_1,60928,7.3113
1_T_2,68345,8.2014
1_A_2,69063,8.2876
1_T_1,70044,8.4053
3_T_1,72374,8.6849
3_A_2,76394,9.1673
3_T_1,82297,9.8756
1_E_1,82465,9.8959
1_T_1,87138,10.4565
3_T_2,87585,10.5102
1_T_2,94153,11.2983
1_A_1,101636,12.1963
1_T_2,105294,12.6352
1_E_1,105722,12.6867
1_A_1,133648,16.0378
