10Dq,3_T_1_0,3_T_1_1,3_T_1_2,3_T_1_3,3_T_1_4,3_T_1_5,3_T_1_6,1_T_2_0,1_T_2_1,1_T_2_2,1_T_2_3,1_T_2_4,1_T_2_5,1_T_2_6,1_A_1_0,1_A_1_1,1_A_1_2,1_A_1_3,1_A_1_4,1_E_1_0,1_E_1_1,1_E_1_2,1_E_1_3,1_E_1_4,3_T_2_0,3_T_2_1,3_T_2_2,3_T_2_3,3_T_2_4,1_T_1_0,1_T_1_1,1_T_1_2,1_T_1_3,3_E_1_0,3_E_1_1,3_E_1_2,3_A_2_0,3_A_2_1,1_A_2_0,1_A_2_1,5_E_1,5_T_2,3_A_1
0.0,21658.459999999995,21658.46,24710.779196229625,24890.557547333512,26483.459999999995,54935.20745266648,55114.985803770396,32487.689999999995,32487.690000000002,34794.51265967404,41741.66964134152,46962.689999999995,62829.71234032595,82902.55535865849,32487.690000000006,34794.512659674045,40160.67570296873,62829.71234032597,108661.62429703123,32487.69,34794.512659674045,41741.669641341534,62829.71234032595,82902.55535865844,21658.459999999995,24890.557547333512,26483.459999999995,33238.46,54935.20745266649,32487.690000000002,34794.51265967404,46962.69,62829.71234032595,21658.46,26483.46,33238.46,24890.55754733351,54935.207452666495,32487.69,46962.69,0.0,0.0,26483.46
40.04004004004004,21661.199004727438,21703.26757829303,24732.314350145953,24925.553752853782,26495.82870076439,54954.007538451406,55139.89923492411,32486.822810683967,32526.696261485144,34787.16811232265,41783.46975288223,46988.09444986786,62876.44937845578,82917.97939446251,32541.549348467976,34852.864571481085,40184.94541778005,62829.33825305809,108685.67756937291,32483.859532165676,34823.51606446546,41739.030892811475,62850.2927884813,82939.52080215613,21693.03543386284,24911.761603679814,26529.89745323821,33270.87102015194,54960.73964922734,32534.61420271376,34835.83486217266,46982.727883389394,62841.54817184429,21666.42607914557,26504.051071297807,33249.942889596656,24897.816625860054,54967.988414179985,32495.68031630299,46994.739723737046,0.0,40.04004004003946,26483.46
80.08008008008008,21663.314647123298,21747.701651991647,24749.458760711845,24965.1513833198,26508.903675079182,54971.23318417463,55166.46701791989,32485.711244256512,32565.53504665126,34780.02792254254,41825.266038510934,47013.589689121494,62923.25561544122,82933.45476379636,32593.935013949347,34912.084182058505,40209.7124422819,62829.01438631893,108709.78929571158,32479.65616384441,34852.78789088333,41736.40020645487,62870.963772426236,82976.49212655128,21727.357397616677,24932.920551208274,26576.53842475619,33303.276898534794,54986.37204820437,32580.742813098794,34877.870309920705,47002.801455898276,62853.43066132249,21674.30893319559,26524.63923939091,33261.51190749358,24905.05989086515,55000.785189214934,32503.6353665159,47026.82471356417,0.0,80.08008008007891,26483.46
120.12012012012013,21664.81729243778,21791.760824949928,24763.23150219742,25008.333724770433,26522.673656826173,54987.10255972917,55194.47091956954,32484.35305691755,32604.19725008397,34773.10554860375,41867.05748035303,47039.174636423806,62970.13102192918,82948.98148616923,32644.861415111678,34972.14717135928,40234.98576205968,62828.741719700934,108733.95941224889,32475.0916281439,34882.315892362065,41733.77853884884,62891.724867678284,83013.46931320711,21761.42349532975,24954.047686939673,26623.372392029654,33335.67696275351,55012.10494342788,32626.071074828425,34920.62359648953,47022.91066199733,62865.36002704505,21682.109505918423,26545.22300345167,33273.16761075002,24912.28738259514,55033.59773752498,32511.55532612765,47058.944793992465,0.0,120.12012012011837,26483.46
160.16016016016016,21665.717296108247,21835.443501864895,24774.549022630752,25054.187606796317,26537.12666936138,55001.84479848026,55223.68174539878,32482.746009883027,32642.673103623514,34766.415083000174,41908.84307434579,47064.84822131082,63017.07556721054,82964.55958126675,32694.346543542277,35033.02551336804,40260.7744837357,62828.52124459412,108758.18785540044,32470.177245005358,34912.08822764158,41731.16685366412,62912.575650425664,83050.4523435836,21795.23134303122,24975.155750587284,26670.389374388396,33368.07054503254,55037.93862760119,32670.595729435987,34964.097815366986,47043.05544739624,62877.33648828126,21689.828734066465,26565.800871010804,33284.91055508288,24919.499141209366,55066.42601895079,32519.440369970107,47091.09979019005,0.0,160.16016016015783,26483.46
200.2002002002002,21666.02497320228,21878.747870308034,24784.096776374827,25102.031685688926,26552.2501583195,55015.67264888113,55253.88668802607,32480.887874637636,32680.95212572947,34759.971298027776,41950.62182998794,47090.60938425956,63064.089219204834,82980.1890689536,32742.411685463507,35094.687759279936,40287.08782989386,62828.35396436522,108782.47456179824,32464.923921648788,34942.09346009651,41728.56612186509,62933.515697553405,83087.44119923655,21828.778572588042,24996.25694502349,26717.57990871564,33400.45698219986,55063.873392273745,32714.315045996467,35008.294530223226,47063.23575909344,62889.36026528744,21697.46754723977,26586.371358238015,33296.74129472241,24926.695206780078,55099.26999342012,32527.290672215124,47123.28952798507,0.0,200.2002002001973,26483.46
240.24024024024027,21665.750571579938,21921.671883000392,24792.3522043733,25151.393372495877,26568.031127881655,55028.769343455875,55284.90245817395,32478.776438364108,32719.02306760852,34753.78969442511,41992.392770092745,47116.45707675029,63111.17194444453,82995.8699692756,32789.081107592574,35157.09935741297,40313.935133123305,62828.24089453893,108806.81946829324,32459.3421554684,34972.32055460863,41725.97732191715,62954.544586669115,83124.43586181717,21862.062835719233,25017.362956712343,26764.93502504394,33432.835615671196,55089.90952781425,32757.22883579077,35053.21376019311,47083.45154542697,62901.43157930988,21705.02686775876,26606.932990215726,33308.66038226576,24933.875619292416,55132.12962094783,32535.10640637172,47155.51383386852,0.0,240.24024024024038,26483.46
280.2802802802803,21664.904248577623,21964.21324041106,24799.64320552427,25201.950263977553,26584.45627916824,55041.285697068626,55316.578186393715,32476.409509534158,32756.873856149978,34747.88655304606,42034.15493054442,47142.39026132396,63158.32370806049,83011.60230246207,32834.38171693229,35220.22300013638,40341.325829112175,62828.18306298247,108831.22251195778,32453.442039005793,35002.75887235476,41723.40144000094,62975.66189612828,83161.43631307075,21895.08180814005,25038.48497583572,26812.446222327202,33465.2057914346,55116.04732338355,32799.33845162377,35098.85398050409,47103.70275612593,62913.55065258703,21712.507610545643,26627.484301206096,33320.668368528546,24941.040418644337,55165.00486163594,32542.887745283384,47187.7725349969,0.0,280.28028028027984,26483.46
320.3203203203203,21663.496050995876,22006.369373765905,24806.198289428652,25253.479887411646,26601.51214969549,55053.34266977644,55348.792860207264,32473.78492364425,32794.49153380103,34742.27898944867,42075.907360057754,47168.40791163473,63205.544473766626,83027.38608892825,32878.342704392104,35284.01898798676,40369.26944872166,62828.18151009265,108855.6836300881,32447.233266662326,35033.39816384844,41720.83947023439,62996.86720505898,83198.44253483649,21927.833193827377,25059.633715900334,26860.10544461058,33497.566860035215,55142.28706690777,32840.646771822634,35145.21213842295,47123.98934236301,62925.71770835237,21719.910683014426,26648.02383491147,33332.765802394424,24948.189644646613,55197.8956756737,32550.634861125473,47220.065459194855,0.0,320.32032032032294,26483.46
360.36036036036035,21661.535898160513,22048.137428561186,24812.18132499091,25305.82484564586,26619.185253152493,55065.03601169583,55381.45067923461,32470.900549077873,32831.862195630245,34736.98501117082,42117.64911994143,47194.509012497656,63252.83420384576,83043.2213492777,32920.99518178278,35348.44560149764,40397.775608968965,62828.23728898559,108880.20276020646,32440.7251428452,35064.22856054086,41718.2924149021,63018.16009338616,83235.4545090464,21960.3147293966,25080.819432663055,26907.90505777035,33529.918176560444,55168.629045050955,32881.15816929609,35192.28368414073,47144.31125680763,62937.93297083663,21727.2369849692,26668.550144728444,33344.953230662715,24955.323337022743,55230.802023337616,32558.347925402762,47252.3924349576,0.0,360.3603603603624,26483.46
