state,cm,eV
3_A_2,0,0.0000
1_E,17682,2.1923
3_T_2,24000,2.9756
1_A_1,31082,3.8537
3_T_1,34111,4.2292
1_T_2,41441,5.1381
1_T_1,46060,5.7107
3_T_1,53339,6.6132
1_E,67228,8.3353
1_T_2,67469,8.3651
1_A_1,95588,11.8514
