state,cm,eV
3_T_1,0,0.0000
1_T_3,13203,1.5843
1_E,13393,1.6071
3_T_2,22238,2.6685
1_A_1,28784,3.4540
3_T_1,33376,4.0051
1_T_3,37098,4.4517
1_T_1,40160,4.8192
3_A_2,46238,5.5485
1_E,60908,7.3089
1_A_1,79143,9.4971
