10Dq,1_A_1_0,1_A_1_1,1_E_0,1_E_1,1_T_1,1_T_2_0,1_T_2_1,3_A_2,3_T_1_0,3_T_1_1,3_T_2
0.0,17922.0,45527.0,11902.0,17922.0,17922.0,11902.0,17922.0,0.0,0.0,12900.0,0.0
40.04004004004004,17962.004101958802,45551.09965753984,11939.510522009015,17948.59323748963,17954.05187974932,11916.826581737063,17931.237137721542,72.09191978936269,0.0,12924.063719458607,32.051879749322325
80.08008008008008,18001.93605183038,45575.350562703235,11976.536007909646,17975.75060662397,17986.143307266808,11931.56190948646,17940.644624967077,144.22338734688856,0.0,12948.206534453537,64.14330726680782
120.12012012012013,18041.795438130684,45599.75268536325,12013.073644420212,18003.474479073724,18018.274061746968,11946.205414230375,17950.22258914344,216.39418186708735,0.0,12972.428003373814,96.27406174696716
160.16016016016016,18081.581852601183,45624.30599402614,12049.120881720723,18031.766964906587,18050.443923313655,11960.756543876414,17959.971142590737,288.604083473816,0.0,12996.727686467151,128.44392331365634
200.2002002002002,18121.29489023519,45649.01045581417,12084.675439512343,18060.62990653701,18082.652673024677,11975.214763475336,17969.89038237382,360.85287322487693,0.0,13021.105145849153,160.65267302467691
240.24024024024027,18160.934149303877,45673.86603644845,12119.735312428684,18090.064873323652,18114.900092876167,11989.579555429293,17979.9803900828,433.14033311640924,0.0,13045.559945512097,192.90009287616886
280.2802802802803,18200.499231381862,45698.87270023173,12154.298774766386,18120.073156847204,18147.185965806795,12003.850419690298,17990.241231643013,505.4662460870759,0.0,13070.091651333312,225.18596580679605
320.3203203203203,18239.989741372367,45724.03041003109,12188.364384506036,18150.65576689742,18179.510075701728,12018.026873948635,18000.6729571345,577.8303960220474,0.0,13094.699831083133,257.51007570172715
360.36036036036035,18279.405287532023,45749.33912726083,12221.930986598749,18181.813428194102,18211.872207396424,12032.108453810943,18011.275600621546,650.2325677567851,0.0,13119.384054432488,289.8722073964245
400.4004004004004,18318.745481495233,45774.798811865214,12254.997715497952,18213.5465778625,18244.272146680225,12046.09471296769,18022.049179992362,722.6725470806259,0.0,13144.143892960052,322.272146680225
440.4404404404405,18358.009938298186,45800.409422301294,12287.563996920599,18245.85536367889,18276.709680299744,12059.985223349822,18032.993696809226,795.1501207401843,0.0,13168.97892015905,354.7096802997439
480.48048048048054,18397.198276402378,45826.17091552176,12319.629548826757,18278.73964309739,18309.184595962073,12073.779575274348,18044.109136169318,867.6650764425531,0.0,13193.888711443666,387.1845959620732
520.5205205205206,18436.310117717814,45852.08324695779,12351.19438161141,18312.19898306419,18341.696682337802,12087.47737757862,18055.39546657646,940.2172028583218,0.0,13218.872844155081,419.6966823378016
560.5605605605606,18475.345087625723,45878.14637050198,12382.258797507326,18346.23266062037,18374.24572906385,12101.078257743156,18066.852639823977,1012.8062896244091,0.0,13243.930897567137,452.24572906384856
600.6006006006007,18514.302815000912,45904.36023849135,12412.82338920272,18380.83966428954,18406.83152674613,12114.581862002797,18078.48059088886,1085.4321273467294,0.0,13269.062452891656,484.8315267461285
640.6406406406406,18553.18293223367,45930.72480169035,12442.889037682478,18416.01869624155,18439.453866962016,12127.987855446003,18090.279237837385,1158.0945076026546,0.0,13294.26709328339,517.4538669620142
