state,cm,eV
3_T_1,0,0.0000
1_T_2,13202,1.6369
1_E,13392,1.6604
3_T_2,22238,2.7571
1_A_1,28783,3.5686
3_T_1,33376,4.1380
1_T_2,37097,4.5995
1_T_1,40160,4.9792
3_A_2,46238,5.7328
1_E,60907,7.5515
1_A_1,79142,9.8123
