delta_B,1_A_1_0,1_A_1_1,1_E_0,1_E_1,1_T_1,1_T_2_0,1_T_2_1,3_A_2,3_T_1_0,3_T_1_1,3_T_2
0.0,20.83953488372093,52.938372093023254,13.83953488372093,20.83953488372093,20.83953488372093,13.83953488372093,20.83953488372093,0.0,0.0,15.0,0.0
0.04655818609306982,20.886051281347445,52.966394950627716,13.883151769777925,20.87045725289492,20.87680451133642,13.856775095043096,20.850275741536677,0.08382781370856127,0.0,15.027981069137915,0.037269627615491074
0.09311637218613963,20.932483781198115,52.9945936775619,13.926204660360053,20.90203558909764,20.914120124728846,13.873909197077278,20.861214680194276,0.16770161319405646,0.0,15.056054109829693,0.07458524100791608
0.13967455827920947,20.978831904803123,53.022968238794476,13.968690284209549,20.934272650085724,20.951481467147637,13.890936528174855,20.87235184784121,0.25162114170591554,0.0,15.084218608574202,0.111946583426706
0.18623274437227927,21.025095177443237,53.05151859770481,14.010605676419445,20.967170889426264,20.988888282922854,13.907856446367923,20.88368737510551,0.33558614357420463,0.0,15.112474054031571,0.14935339920192597
0.23279093046534904,21.07127312818045,53.080244716062985,14.051948185479468,21.00073244946164,21.026340317470556,13.924668329622484,20.89522137485328,0.41959636421497315,0.0,15.140819937033898,0.18680543374962433
0.27934911655841893,21.11736528988823,53.10914655400983,14.092715479568238,21.0349591550275,21.063837317297867,13.941371576080574,20.906953941956747,0.5036515501353596,0.0,15.169255750595463,0.22430243357694052
0.3259073026514887,21.163371199281237,53.1382240700369,14.132905552053938,21.069852507961865,21.1013790300079,13.957965604291044,20.91888515307327,0.5877514489384603,0.0,15.197780989922457,0.26184414628697217
0.37246548874455854,21.209290396944613,53.16747722096638,14.172516726169809,21.10541368243886,21.138965204304334,13.974449853428645,20.931015066435464,0.671895809327962,0.0,15.226395152422247,0.29943032058340363
0.4190236748376283,21.255122427362817,53.19690596193119,14.211547658835755,21.14164352115593,21.17659558999584,13.990823783501096,20.943343721652962,0.7560843811125408,0.0,15.255097737712196,0.33706070627491225
0.4655818609306981,21.300866838947943,53.2265102463549,14.249997343602269,21.178542532398257,21.21426993800026,14.007086875543825,20.955871139526003,0.8403169152100302,0.0,15.283888247627967,0.37473505427933135
0.512140047023768,21.346523184067657,53.25629002593174,14.28786511269837,21.21611088799871,21.25198800034854,14.02323863180212,20.968597321871194,0.9245931636513771,0.0,15.312766186231453,0.4124531166276092
0.5586982331168379,21.39209101907253,53.2862452506067,14.325150638170648,21.254348422206267,21.28974953018846,14.039278575900404,20.98152225135967,1.008912879584364,0.0,15.341731059818215,0.450214646467527
0.6052564192099076,21.43756990432304,53.31637586855557,14.36185393210629,21.29325463146999,21.327554281788142,14.055206252998396,20.994645891367977,1.0932758172771184,0.0,15.370782376924513,0.4880193980672111
0.6518146053029774,21.482959404215958,53.34668182616509,14.39797534593875,21.332828675139968,21.36540201053936,14.071021229933903,21.007968185841833,1.177681732121406,0.0,15.399919648333881,0.5258671268184285
0.6983727913960474,21.528259087210362,53.377163068013196,14.433515568840372,21.37306937708086,21.403292472960615,14.08672309535209,21.021489059173092,1.2621303806357318,0.0,15.42914238708332,0.5637575892396842
0.7449309774891171,21.573468525853105,53.40781953684924,14.468475625212184,21.413975228187848,21.44122542670002,14.102311459820934,21.035208416089983,1.346621520468203,0.0,15.458450108469059,0.6016905429790863
0.7914891635821869,21.61858729680383,53.438651173574435,14.502856871286616,21.455544389789328,21.479200630537974,14.117785955932804,21.049126141560954,1.4311549103992283,0.0,15.487842330051897,0.6396657468170414
0.8380473496752566,21.663614980859435,53.4696579172222,14.536660990864279,21.49777469791503,21.517217844389652,14.133146238391939,21.063242100712113,1.5157303103439803,0.0,15.51731857166219,0.6776829606687231
0.8846055357683266,21.708551162978164,53.50083970493875,14.569889990211289,21.540663668403294,21.555276829307292,14.148391984087707,21.077556138758553,1.6003474813546903,0.0,15.5468783554044,0.7157419455863631
0.9311637218613962,21.75339543230305,53.53219647196383,14.602546192148436,21.584208502816114,21.593377347482274,14.163522892153585,21.09206808094957,1.6850061856227407,0.0,15.57652120566129,0.7538424637613452
0.9777219079544662,21.798147382185025,53.56372815161137,14.63463222936807,21.628406095125996,21.631519162247034,14.178538684011682,21.10677773252792,1.7697061864805703,0.0,15.606246649097743,0.7919842785261048
1.024280094047536,21.84280661020539,53.595434675250516,14.666151037018794,21.673253039134792,21.66970203807679,14.193439103402856,21.12168487870319,1.8544472484033967,0.0,15.636054214664187,0.830167154355861
1.0708382801406058,21.88737271819789,53.627315972286596,14.697105844601841,21.718745636580316,21.707925740591083,14.20822391640227,21.136789284639285,1.9392291370107562,0.0,15.665943433599695,0.8683908568701502
1.1173964662336757,21.931845312270188,53.65937197014237,14.727500167226216,21.764879905884015,21.746190036555117,14.222892911420468,21.15209069545609,2.02405161906786,0.0,15.695913839434695,0.906655152834185
1.1639546523267454,21.976224002824953,53.69160259423935,14.75733779627261,21.81165159148936,21.784494693880983,14.237445899189886,21.167588836245336,2.1089144624868,0.0,15.725964967993363,0.9449598101600545
1.2105128384198152,22.020508404580312,53.72400776797932,14.78662278951837,21.85905617373893,21.82283948162865,14.251882712736895,21.18328341210059,2.1938174363275373,0.0,15.75609635739563,0.9833045979077216
1.2570710245128849,22.064698136589907,53.75658741272608,14.81535946077764,21.907088879236014,21.861224170006828,14.266203207339403,21.19917410816137,2.2787603107987846,0.0,15.786307548058911,1.0216892862858986
1.3036292106059548,22.108792822262366,53.789341447787244,14.843552369112086,21.95574469163519,21.89964853037364,14.280407260470053,21.21526058967127,2.3637428572586634,0.0,15.816598082699462,1.0601136466527086
1.3501873966990248,22.15279208938027,53.822269790396355,14.871206307668462,22.00501836280585,21.938112335237154,14.294494771725155,21.23154250205013,2.448764848215249,0.0,15.846967506333423,1.0985774515162248
1.3967455827920947,22.196695570118646,53.8553723556952,14.898326292199592,22.05490442431193,21.97661535825576,14.308465662739469,21.248019470979955,2.5338260573269245,0.0,15.877415366277566,1.1370804745348302
1.4433037688851644,22.2405029010629,53.88864905671615,14.92491754932514,22.105397199151593,22.015157374238367,14.32231987708693,21.26469110250464,2.6189262594026004,0.0,15.907941212149705,1.175622490517436
