10Dq,1_A_1_0,1_A_1_1,1_E_0,1_E_1,1_T_3_0,1_T_3_1,3_T_1_0,3_T_1_1,1_T_1,3_T_2,3_A_2
0.0,17922.4,45528.4,11902.4,17922.4,11902.4,17922.4,0.0,12900.0,17922.4,0.0,0.0
40.04004004004004,17962.404103980756,45552.49965551789,11939.910522009015,17948.99323748963,11917.226581737063,17931.63713772154,0.0,12924.063719458607,17954.451879749322,32.051879749322325,72.09191978936269
80.08008008008008,18002.33605992743,45576.75055460619,11976.936007909646,17976.150606623967,11931.96190948646,17941.044624967075,0.0,12948.206534453537,17986.54330726681,64.14330726680782,144.22338734688856
120.12012012012013,18042.195456369678,45601.15266712426,12013.473644420214,18003.874479073722,11946.605414230375,17950.62258914344,0.0,12972.428003373814,18018.67406174697,96.27406174696807,216.39418186708826
160.16016016016016,18081.981885062396,45625.70596156492,12049.520881720724,18032.166964906588,11961.156543876414,17960.37114259074,0.0,12996.727686467151,18050.843923313656,128.44392331365634,288.604083473816
200.2002002002002,18121.694941012087,45650.41040503727,12085.07543951234,18061.029906537013,11975.614763475338,17970.290382373816,0.0,13021.105145849153,18083.052673024675,160.65267302467691,360.85287322487693
240.24024024024027,18161.33422250285,45675.26596324948,12120.135312428683,18090.464873323654,11989.979555429292,17980.380390082802,0.0,13045.559945512097,18115.30009287617,192.90009287616886,433.14033311640924
280.2802802802803,18200.899331121967,45700.27260049162,12154.698774766384,18120.473156847205,12004.250419690296,17990.641231643014,0.0,13070.091651333312,18147.585965806797,225.18596580679605,505.4662460870759
320.3203203203203,18240.389871785068,45725.430279618384,12188.764384506036,18151.055766897418,12018.426873948636,18001.0729571345,0.0,13094.699831083133,18179.91007570173,257.51007570172715,577.8303960220474
360.36036036036035,18279.805452760913,45750.73896203194,12222.330986598748,18182.2134281941,12032.508453810944,18011.675600621544,0.0,13119.384054432488,18212.272207396425,289.8722073964245,650.2325677567851
400.4004004004004,18319.14568569578,45776.19860766467,12255.397715497953,18213.9465778625,12046.494712967691,18022.44917999236,0.0,13144.143892960052,18244.672146680226,322.2721466802259,722.6725470806268
440.4404404404405,18358.410185637447,45801.809174962036,12287.9639969206,18246.255363678887,12060.385223349822,18033.393696809224,0.0,13168.97892015905,18277.109680299745,354.7096802997439,795.1501207401843
