delta_B,2_T_2_0,2_T_2_1,2_T_2_2,2_T_2_3,2_T_2_4,2_T_1_0,2_T_1_1,2_T_1_2,2_T_1_3,2_T_1_4,2_E_0,2_E_1,2_E_2,2_E_3,4_T_1_0,4_T_1_1,4_A_2,4_T_2,2_A_1,2_A_2
0.0,17.899,22.899000000000004,25.39078395540327,37.899,60.93921604459673,17.899,22.899,22.899,22.899000000000004,37.89899999999999,17.898999999999997,22.898999999999997,25.390783955403272,60.93921604459671,0.0,15.0,0.0,0.0,17.899,37.899
0.005173064976502954,17.92035719917392,22.936728285522186,25.4251257836236,37.93175579112451,60.968367318070875,17.934882982732926,22.90937356991228,22.917422246435443,22.96368991573299,37.92496566270146,17.930725163764208,22.920084635061222,25.417808834133773,60.97330273909985,0.0,15.031095361147026,0.09314365522105636,0.04141300545602785,17.940413005456026,37.94041300545603
0.010346129953005908,17.941565734632544,22.974044225040856,25.46011471434236,37.96449721761495,60.99773054261884,17.970110098039708,22.9197977396303,22.936193466778775,23.028719185693188,37.95113194410761,17.960853171559254,22.941985598864715,25.445724650202163,61.00750626686752,0.0,15.062304193981793,0.18634404628598517,0.08288274675592627,17.981882746755925,37.98188274675592
0.015519194929508862,17.962624836464897,23.01095240375494,25.495745919400562,37.99722359892017,61.027305651986794,18.00468324640528,22.930266394078934,22.955319517256086,23.09408449211057,37.97749876067648,17.989363880997537,22.96474794581948,25.474505734505097,61.04182597724073,0.0,15.093625794633892,0.279600821259579,0.12440887196449164,18.023408871964495,38.02340887196449
0.020692259906011815,17.983533756262563,23.047458099141874,25.53201386063094,38.02993426147875,61.05709257740237,18.038604704900624,22.940773811859316,22.974805632179127,23.1597823745696,38.0040660314078,18.016239753130705,22.988413455191107,25.50412709203828,61.07626122376103,0.0,15.125059462530517,0.3729136298554349,0.16599103079531713,18.064991030795316,38.06499103079531
0.02586532488251477,18.004291767947937,23.083567257263848,25.568912312761338,38.06262853875545,61.087091247545,18.071877121660336,22.951314647593687,22.99465644026914,23.225809236827185,38.030833677923255,18.041465994962017,23.01302041952575,25.534564471003197,61.1108113641629,0.0,15.156604500414348,0.46628212344489534,0.20762887461974908,18.106628874619748,38.10662887461975
0.031038389859017725,18.02489816857906,23.119286465059186,25.606434390354647,38.09530577127738,61.117301588516334,18.10450350950688,22.961883913231127,23.014875982721037,23.292161353780727,38.05780162454686,18.06503068065651,23.038603466963547,25.565794419325556,61.14547576036563,0.0,15.18826021436054,0.5597059550655347,0.24932205647535807,18.148322056475358,38.148322056475365
0.036211454835520684,18.045352279129688,23.15462291896948,25.64457257843572,38.12796530666938,61.14772352381055,18.136487238748074,22.972476958788274,23.035467732541836,23.358834878551345,38.08496979838526,18.08692484904346,23.065193418854665,25.59779432957722,61.18025377846544,0.0,15.220025913792794,0.6531847794292068,0.2910702310740017,18.190070231074,38.19007023107401
0.04138451981202363,18.065653445243935,23.189584390298492,25.68331876641043,38.16060649968897,61.17835697428501,18.167832029178452,22.983089452915422,23.056434614776403,23.425825849648565,38.112338129407966,18.10714257544306,23.092817183608698,25.630542473339215,61.21514478872645,0.0,15.251900911498588,0.746718252929647,0.3328730548094115,18.231873054809412,38.23187305480941
0.04655758478852658,18.085801037964437,23.22417918773476,25.72266428484576,38.19322871226067,61.209201858131,18.198541941319053,22.993717363601576,23.077779027305066,23.49313019818356,38.13990655052735,18.12568101635794,23.121497687186825,25.664018026055558,61.2501481655719,0.0,15.283884523643485,0.8403060336496412,0.3747301857643753,18.273730185764375,38.27373018576437
0.05173064976502954,18.10579445443297,23.258416117496296,25.762599944653513,38.225831313509765,61.24025809084455,18.228621366933737,23.004356939264866,23.099502861960286,23.560743755099598,38.16767499767862,18.14254042613287,23.151253840097528,25.698201083414382,61.28526328757482,0.0,15.315976069784666,0.9339477813677773,0.41664128371748105,18.31564128371748,38.31564128371748
0.056903714741532496,18.12563311856282,23.29230444157125,25.803116078204855,38.2584136797955,61.27152558519748,18.258075018863654,23.01500469041539,23.121607525763707,23.628662258389593,38.19564340989955,18.157724145281083,23.182100540195414,25.733072670257673,61.3204895374483,0.0,15.348174872883563,1.0276431575647698,0.45860601014944485,18.357606010149443,38.357606010149446
0.06207677971803545,18.1453164816819,23.325853834534236,25.844202581896596,38.290975194743574,61.30300425120853,18.286907920224582,23.025657372027915,23.144093962129833,23.69688136027243,38.22381172941012,18.171238560782168,23.214048710027065,25.768614742971163,61.35582630203542,0.0,15.380480259317736,1.1213918254293993,0.5006240282490441,18.399624028249043,38.39962402824904
0.0672498446945384,18.164844023145868,23.359074339414253,25.88584895969457,38.32351524927811,61.33469399611497,18.31512539301476,23.03631196671952,23.166962671920363,23.765396634301457,38.25217990169169,18.183093039249428,23.247105366936015,25.804810186244627,61.39127297229907,0.0,15.41289155889189,1.2151934498640211,0.5426950029186375,18.44169500291864,38.441695002918635
0.07242290967104137,18.184215250920325,23.391976323076978,25.928044367191582,38.356033241653016,61.36659472434414,18.34273304618325,23.046965668793305,23.190213734262876,23.83420358238034,38.28074787556628,18.193299834421815,23.281273723649104,25.841642805024428,61.4268289433114,0.0,15.445408104848168,1.3090476974897052,0.5848186007792912,18.483818600779294,38.483818600779294
0.07759597464754431,18.20342970213144,23.424570431563996,25.970777655738793,38.388528577482596,61.39870633748537,18.3697367632112,23.057615869180914,23.213846827071567,23.903297641663485,38.30951560327504,18.201873970938593,23.316553316637116,25.87909731240842,61.462493614242526,0.0,15.478029233875617,1.4029542366509733,0.6269944901755307,18.52599449017553,38.52599449017553
