10Dq,1_A_1_0,1_A_1_1,1_A_1_2,1_A_1_3,1_A_1_4,1_A_2_0,1_A_2_1,1_E_0,1_E_1,1_E_2,1_E_3,1_E_4,1_T_1_0,1_T_1_1,1_T_1_2,1_T_1_3,1_T_2_0,1_T_2_1,1_T_2_2,1_T_2_3,1_T_2_4,1_T_2_5,1_T_2_6,3_A_1,3_A_2_0,3_A_2_1,3_E_0,3_E_1,3_E_2,3_T_1_0,3_T_1_1,3_T_1_2,3_T_1_3,3_T_1_4,3_T_1_5,3_T_1_6,3_T_2_0,3_T_2_1,3_T_2_2,3_T_2_3,3_T_2_4,5_E,5_T_2
0.0,37110.000000000015,39839.300496452095,45880.39813693118,71040.69950354789,122549.60186306888,37110.0,53085.0,37109.999999999985,39839.300496452095,47445.37819565667,71040.69950354792,93254.62180434333,37109.99999999999,39839.30049645208,53085.0,71040.69950354788,37110.00000000001,37110.00000000003,39839.30049645211,47445.37819565667,53085.0,71040.69950354792,93254.62180434336,30065.0,28419.23645956478,61980.76354043522,24740.0,30065.0,37520.0,24739.99999999999,24740.0,28321.940277389698,28419.23645956478,30065.000000000007,61980.76354043525,62078.05972261027,24740.000000000004,28419.236459564778,30065.0,37520.0,61980.76354043522,0.0,0.0
40.04004004004004,37094.817758019344,39822.046317573026,45896.62636422212,71080.90530942142,122565.6442908042,37142.015950726985,53093.024089313054,37153.515052208655,39850.63040373247,47488.05516614788,71060.20868195946,93257.71081607162,37102.390100179495,39838.793068881714,53105.036956238226,71068.81991474058,37110.88652242662,37150.68254466122,39886.6186595215,47443.62095961858,53099.724763768565,71034.30593976175,93279.28073036193,30105.04004004004,28452.22379136295,61987.81624867709,24771.99376557587,30084.44759471654,37548.63871978767,24734.887503508187,24776.7075677975,28333.26298628957,28431.49578744907,30093.389327719564,61999.628029874184,62095.74891748209,24745.22889845211,28438.044100865638,30058.812411871273,37527.62559503754,61995.32903381348,40.04004004003946,0.0
80.08008008008008,37078.3882595909,39805.52113081628,45913.27456797398,71121.1565461033,122581.73957559562,37173.999642012124,53101.080438067955,37196.694177633246,39862.20312764179,47530.7380711451,71079.79960913185,93260.80525468828,37094.12415076318,39838.8659299665,53125.1078119337,71096.9821874167,37111.64397033689,37191.15961242034,39934.07795313682,47441.86143394935,53114.53696710037,71027.97445419847,93303.98584909807,30145.08008008008,28485.19723761615,61994.88284246393,24803.91047357586,30103.89517087789,37577.35451570641,24729.458219209548,24812.85318570206,28336.416859435478,28452.00182172787,30122.506421504564,62015.25040094755,62116.75333171318,24750.239484879363,28456.766875364076,30052.840908246362,37535.249406611576,62009.98340497871,80.08008008007891,0.0
120.12012012012013,37060.70909970289,39789.734678140754,45930.33614280907,71161.45243148884,122597.88776797854,37205.95092824663,53109.16919187349,37239.52828365842,39874.028182833645,47573.42613122575,71099.47262633199,93263.90513631055,37085.208337704724,39839.513027859764,53145.21260822717,71125.18614632849,37112.27768390271,37231.43271459747,39981.669722631086,47440.10049651843,53129.43752782886,71021.70507040765,93328.7371444742,30185.12012012012,28518.156766094107,62001.96335402601,24835.749333357562,30123.343979000612,37606.14692788207,24723.712768207966,24848.42898986271,28334.69842605393,28477.458323212013,30152.358178480725,62028.09918497919,62140.60448956388,24755.033611387327,28475.391319706454,30047.09677103013,37542.871999936266,62024.72641805994,120.12012012011837,0.0
160.16016016016016,37041.78029500508,39774.69418520153,45947.804569645086,71201.79219167551,122614.088918633,37237.86966334207,53117.29049681809,37282.00804723023,39886.1153087952,47616.118572098116,71119.22807522156,93267.01047713541,37075.64959201138,39840.727564157736,53165.351387047005,71153.431616944,37112.79270025278,37271.50335239858,40029.38560831372,47438.339036502686,53144.427371400656,71015.49781107344,93353.53460053865,30225.160160160158,28551.102344501498,62009.05781565866,24867.509549510014,30142.795274973894,37635.01549583641,24717.65168311133,24883.42721092078,28330.67683931684,28505.29762924955,30182.950287691558,62038.89678525613,62166.580044934286,24759.613127852466,28493.90341054109,30041.5918415485,37550.493943758454,62039.55783645965,160.16016016015783,0.0
200.2002002002002,37021.60429283521,39760.404351081685,45965.67341704613,71242.1750608552,122630.34307838201,37269.75570073273,53125.44449946747,37324.12392321248,39898.47446162913,47658.814624480816,71139.0662978384,93270.12129343973,37065.45554669853,39842.502036978134,53185.524191077886,71181.71842544561,37113.19377213824,37311.37301476462,40077.21752882663,47436.57795457532,53159.507430805446,71009.3526980259,93378.37820146442,30265.200200200197,28584.03394047801,62016.16625972219,24899.190321976643,30162.250319846476,37663.95975857727,24711.275418459954,24917.8402034114,28325.682403178413,28534.192164257303,30214.287152896373,62048.292723389786,62194.030535007405,24763.97988006783,28512.28855171296,30036.33853517889,37558.11581037006,62054.47742287045,200.2002002001973,0.0
240.24024024024027,37000.185953269094,39746.86736528891,45983.936342284214,71282.60028120791,122646.65029819004,37301.608893378056,53133.63134686218,37365.86615487935,39911.11580369584,47701.5135239864,71158.98763657772,93273.23760158135,37054.63449048806,39844.828287294295,53205.73106373001,71210.04639872785,37113.48538544186,37351.04317631545,40125.15766556392,47434.81816309749,53174.67864650159,71003.26975225286,93403.26793154758,30305.240240240237,28616.95152159831,62023.28871864193,24930.790846184427,30181.710379608667,37692.97925468738,24704.584361074067,24951.6604772323,28320.365020613197,28563.49601204125,30246.37183019178,62056.7559011093,62222.487118458834,24768.135707974005,28530.531564244284,30031.349853109525,37565.73817562066,62069.48493929175,240.24024024024038,0.0
280.2802802802803,36977.53250467895,39734.082951508244,46002.58709213497,71323.06710279704,122663.01062916113,37333.42909376522,53141.85118651506,37407.2247867279,39924.04969093214,47744.21451100843,71178.99243417307,93276.35941799935,37043.19531888306,39847.69754789263,53225.97204910882,71238.41536439573,37113.67177558815,37390.51529538898,40173.19844809611,47433.06058631213,53189.94196633801,70997.24899391163,93428.20377520584,30345.280280280276,28649.8550553721,62030.42522490818,24962.31031317948,30201.176724969453,37722.07352241162,24697.578840296763,24984.88073110196,28315.060007567612,28592.879104620835,30279.20598153126,62064.59688741294,62251.63928830948,24772.0824439756,28548.616679853825,30026.639390474527,37573.36161893004,62084.580147046276,280.28028028027984,0.0
320.3203203203203,36953.65347396427,39722.0484369235,46021.61950343,71363.57478346524,122679.4241225374,37365.21615391169,53150.10416640864,37448.18967979159,39937.28665766525,47786.91683061251,71199.08103367675,93279.48675921487,37031.14748325749,39851.100494314844,53246.24719198505,71266.82515076296,37113.756942913205,37429.79081217641,40221.3325405407,47431.30616054056,53205.298345471616,70991.29044234101,93453.18571697752,30385.320320320323,28682.74450924413,62037.575811076196,24993.747909769147,30220.650631128545,37751.24209974296,24690.259138108482,25017.4938878922,28309.954284901927,28622.161014681587,30312.78984487951,62072.01703018225,62281.28576031506,24775.82191134321,28566.52753886655,30022.22134001325,37580.98672330073,62099.762806796585,320.32032032032294,0.0
360.36036036036035,36928.56059324393,39710.75884529816,46041.02750338815,71404.12258873273,122695.89082969741,37396.96992536794,53158.39043499241,37488.75052962947,39950.837398748394,47829.61973243112,71219.25377844041,93282.61964183167,37018.50093859215,39855.02729715303,53266.55653776528,71295.27558684991,37113.74466705196,37468.87114695302,40269.5528288207,47429.555834381455,53220.74874628073,70985.39411607344,93478.2137415198,30425.360360360362,28715.6198505942,62044.740509766154,25025.102818670643,30240.133377543258,37780.48452450683,24682.625499089285,25049.493131681993,28305.160100112807,28651.237199683605,30347.122221361802,62079.14795362284,62311.294975528785,24779.355922700386,28584.247193463918,30018.11049030387,37588.614075330646,62115.03267856155,360.3603603603624,0.0
