10Dq,1_A_1_0,1_A_1_1,1_A_1_2,1_A_1_3,1_A_1_4,1_A_2_0,1_A_2_1,1_E_0,1_E_1,1_E_2,1_E_3,1_E_4,1_T_1_0,1_T_1_1,1_T_1_2,1_T_1_3,1_T_2_0,1_T_2_1,1_T_2_2,1_T_2_3,1_T_2_4,1_T_2_5,1_T_2_6,3_A_1,3_A_2_0,3_A_2_1,3_E_0,3_E_1,3_E_2,3_T_1_0,3_T_1_1,3_T_1_2,3_T_1_3,3_T_1_4,3_T_1_5,3_T_1_6,3_T_2_0,3_T_2_1,3_T_2_2,3_T_2_3,3_T_2_4,5_E,5_T_2
0.0,32484.0,34790.27587216356,40156.081243344335,62824.724127836445,108653.91875665564,32484.0,46959.0,32483.999999999993,34790.275872163555,41737.61583487409,62824.72412783642,82897.3841651259,32483.999999999996,34790.27587216356,46959.0,62824.72412783644,32483.999999999993,32484.000000000007,34790.275872163555,41737.615834874094,46959.0,62824.72412783644,82897.3841651259,26481.0,24887.76267537606,54931.237324623944,21656.0,26481.0,33236.0,21655.999999999993,21656.000000000004,24707.68457387408,24887.762675376056,26481.0,54931.237324623966,55111.315426125926,21655.999999999996,24887.76267537606,26481.000000000004,33236.0,54931.237324623944,0.0,0.0
40.04004004004004,32537.859150006407,34848.628776353115,40180.35098815266,62824.34921627752,108677.97202937042,32491.990316302996,46991.049723737044,32480.169490938788,34819.279434250435,41734.977061155645,62845.30446043408,82934.34963330116,32530.92409754706,34831.59859309762,46979.0378807244,62836.55954875103,32483.132786450828,32523.006242727366,34782.93060806184,41779.41596411719,46984.404443947744,62871.461929934834,82912.8081849204,26481.0,24895.022483543296,54964.01755649674,21663.96607914557,26501.591071297808,33247.482889596664,21658.73896729036,21700.807540160597,24729.223344767954,24922.755089024613,26493.368587009438,54950.03909378071,55136.227538126484,21690.575420058274,24908.96688565967,26527.437435370684,33268.41101708249,54956.76940198903,0.0,40.04004004003946
80.08008008008008,32590.244225099592,34907.84971494191,40205.11810403899,62824.024519417675,108702.08375682213,32499.9453665159,47023.13471356418,32475.966002948862,34848.55149391143,41732.34634877868,62865.97533236406,82971.32098215714,32577.052390985802,34873.63477622968,46999.11144521919,62848.44162780556,32482.021146381056,32561.844968745296,34775.789797235506,41821.212269822485,47009.89966545675,62918.26893340604,82928.28353927321,26481.0,24902.266476332472,54996.81360374761,21671.84893319559,26522.179239390905,33259.05190749358,21660.854498815883,21745.24149895533,24746.376346219735,24962.34433199337,26506.44322162787,54967.268610371444,55162.791812336676,21724.89734205347,24930.126049206538,26574.0783558748,33300.8168862623,54982.40168692321,0.0,80.08008008007891
120.12012012012013,32641.169653728688,34967.914355993744,40230.39157872586,62823.75101682903,108726.25387520311,32507.86532612765,47055.25479399247,32471.401274922246,34878.07979887237,41729.72465427623,62886.73631911014,83008.29819305928,32622.380122711336,34916.38901643131,47019.22063792641,62860.3705832913,32480.662834588657,32600.507067981547,34768.866903956994,41863.00373414201,47035.48458321421,62965.145108905584,82943.81024769148,26481.0,24909.494693993955,55029.625426126164,21679.649505918424,26542.76300345167,33270.70761075002,21662.356961990867,21789.3004794284,24760.159418930558,25005.516919505353,26520.21264077347,54983.14328532735,55190.79077452449,21758.963369544108,24951.253459861022,26620.91224263503,33333.21693515223,55008.13447328807,0.0,120.12012012011837
160.16016016016016,32690.65344008321,35028.79465872058,40256.18052103545,62823.5296998817,108750.48232091969,32515.750369970105,47087.40979019005,32466.486632272507,34907.85250247824,41727.11294127321,62907.58699682676,83045.28124746957,32666.904034192194,34959.8644072771,47039.36540452698,62872.3466344842,32479.055610907722,32638.98276712041,34762.17602720087,41904.78935303846,47061.15812678149,63012.090425732546,82959.38832985915,26481.0,24916.707176691085,55062.45298346907,21687.368734066466,26563.340871010805,33282.45055508288,21663.256714409523,21832.982885392907,24771.487054093574,25051.36163288447,26534.664871636032,54997.891550360066,55219.995931864076,21792.77111806129,24972.36185444882,26667.929118327997,33365.610495984336,55033.968053818215,0.0,160.16016016015783
200.2002002002002,32738.716885476577,35090.45915699332,40282.4941558135,62823.361571922724,108774.76903059462,32523.60067221512,47119.599527985076,32461.23298738231,34937.85816302013,41724.512180686375,62928.526942365344,83082.27012694623,32710.622395667422,35004.06251129502,47059.5456919907,62884.37000164745,32477.197245466778,32677.261578917485,34755.73194626674,41946.568136035145,47086.91923666174,63059.104851814016,82975.0178056389,26481.0,24923.903964500132,55095.296235700065,21695.00754723977,26583.911358238012,33294.281294722416,21663.5640732782,21876.28690345357,24781.04393857757,25099.197890270207,26549.787364329797,55011.72562298707,55250.19500790439,21826.318218987297,24993.46343322323,26715.119522902227,33397.996905594046,55059.902720094,0.0,200.2002002001973
240.24024024024027,32785.38427383285,35152.87327962829,40309.341817972265,62823.247648457866,108799.11394106963,32531.416406371718,47151.82383386852,32455.65084250375,34968.08574060275,41721.9233509316,62949.555733300076,83119.26481314233,32753.535020806135,35048.98334525369,47079.76144862683,62896.44090603407,32475.08552412383,32715.33224827401,34749.550169467555,41988.3391059687,47112.76686436236,63106.18835368997,82990.69869507449,26481.0,24931.085097410254,55128.155142829986,21702.56686775876,26604.472990215723,33306.200382265764,21663.289288568303,21919.21048527339,24789.307380508126,25148.55322951579,26565.567128000028,55024.82838945974,55281.205059635584,21859.602323571682,25014.56988027734,26762.474489192646,33430.37550540437,55085.93876251491,0.0,240.24024024024038
280.2802802802803,32830.68253107897,35215.99969771555,40336.73294558283,62823.188957335806,108823.51698940792,32539.19774528338,47184.0825349969,32449.750294738802,34998.524591925096,41719.34743813815,62970.67294795309,83156.26528780542,32795.643266000625,35094.62538081501,47100.01262413573,62908.559569889476,32472.718254062827,32753.18269511513,34743.646985853724,42030.10129874581,47138.69997245226,63153.340896498004,83006.43101839343,26481.0,24938.250615323424,55161.02966495685,21710.047610545644,26625.024301206096,33318.20836852855,21662.44251969262,21961.751330164407,24796.605396405852,25199.10512356266,26581.990869049197,55037.35046776003,55312.87541448636,21892.621107077277,25035.69238365012,26809.985518710815,33462.745641410496,55112.07647027244,0.0,280.28028028027984
320.3203203203203,32874.640868357834,35279.798689144576,40364.67707194708,62823.18653893529,108847.97811289645,32546.94486112547,47216.37545919485,32443.54104276058,35029.16446331334,41716.78543637073,62991.878165419286,83193.27153277671,32836.9500143202,35140.98556052551,47120.29916966132,62920.72621645396,32470.093269535493,32790.799954204784,34738.03951985641,42071.853763102816,47164.71753461441,63200.56244395849,83022.21479600892,26481.0,24945.400558054425,55193.9197622659,21717.450683014427,26645.56383491147,33330.30580239442,21661.03381548742,22003.906868089245,24803.16668092768,25250.630908435516,26599.045130422597,55049.41272454134,55345.08515337751,21925.37227304744,25056.84165491381,26857.64455783257,33495.10666416448,55138.316131322965,0.0,320.32032032032294
360.36036036036035,32917.290418620876,35344.22851083867,40393.183816578414,62823.24144635491,108872.49724904855,32554.657925402764,47248.702434957595,32437.032394969705,35059.99548231154,41714.238347858656,63013.170965590616,83230.28352999025,32877.459644507675,35188.05932876397,47140.62103784421,62932.94106996519,32467.208437729587,32828.17011214617,34732.745788620334,42113.59556036893,47190.81853569354,63247.852958360236,83038.05004852261,26481.0,24952.53496533079,55226.82539502958,21724.7769849692,26666.09014472844,33342.493230662716,21659.073097269244,22045.674243168447,24809.15528404305,25302.97299990314,26616.716431212877,55061.11088113551,55377.73850470918,21957.853557684884,25078.027948080282,26905.44397455491,33527.45792876053,55164.65803236082,0.0,360.3603603603624
