delta_B,1_A_1_0,1_A_1_1,1_E_0,1_E_1,1_T_3_0,1_T_3_1,3_T_1_0,3_T_1_1,1_T_1,3_T_2,3_A_2
0.0,21.418000000000003,54.962999999999994,14.418,21.418,14.418,21.418,0.0,15.0,21.418,0.0,0.0
0.0038873825281592277,21.449055833118685,55.0096918174445,14.451109286757417,21.462638363805763,14.473481209353546,21.47914026649123,0.06995674122819799,15.046664734616577,21.456873825281594,0.03887382528159171,0.0
0.007774765056318455,21.480025292767333,55.05647000835903,14.483797715309086,21.507697585817283,14.528856937320601,21.540386014368952,0.13988109338146015,15.093361858308093,21.495747650563185,0.07774765056318518,0.0
0.011662147584477683,21.510908500889055,55.10333445080049,14.516067505181118,21.553175446508433,14.584127448597203,21.60173697893713,0.20977290529587478,15.140091522238455,21.534621475844776,0.11662147584477689,0.0
0.01554953011263691,21.541705580524397,55.15028502172833,14.547921008929599,21.599069593323136,14.639293016435454,21.663192886943655,0.27963202529291153,15.1868538780862,21.573495301126368,0.15549530112637036,0.0
0.019436912640796136,21.57241665580238,55.19732159701353,14.579360708117884,21.645377544698036,14.69435392252485,21.72475345669903,0.3494583011820599,15.233649078041825,21.61236912640796,0.19436912640796206,0.0
0.023324295168955365,21.603041851931614,55.24444405144749,14.610389209129377,21.69209669424973,14.749310456870672,21.786418398197988,0.4192515802635736,15.280477274805088,21.65124295168955,0.23324295168955378,0.0
0.027211677697114595,21.6335812951912,55.2916522587511,14.641009238831408,21.73922431511088,14.804162917669544,21.848187413243892,0.48901170933128296,15.327338621582156,21.69011677697114,0.2721167769711472,0.0
0.03109906022527382,21.664035112921727,55.33894609158376,14.671223640106081,21.78675756439939,14.858911611182336,21.910060195575873,0.5587385346755096,15.374233272082703,21.728990602252736,0.31099060225273717,0.0
0.034986442753433045,21.694403433516158,55.3863254215525,14.701035367264092,21.834693487804564,14.913556851604474,21.97203643099851,0.6284319020860882,15.4211613805169,21.767864427534327,0.3498644275343289,0.0
0.03887382528159227,21.72468638641069,55.43379011922116,14.730447481357553,21.88302902427429,14.968098960933805,22.034115797513962,0.6980916568554526,15.468123101592317,21.806738252815922,0.38873825281592234,0.0
0.042761207809751504,21.754884102075515,55.481340054119514,14.759463145407688,21.93176101078734,15.022538268836113,22.09629796545643,0.7677176437818365,15.515118590510708,21.845612078097513,0.42761207809751406,0.0
0.04664859033791073,21.78499671200568,55.52897509475254,14.788085619563285,21.98088618719493,15.076875112508484,22.158582597628836,0.8373097071725788,15.562148002964744,21.884485903379108,0.46648590337910756,0.0
0.05053597286606996,21.815024348711738,55.57669510860966,14.816318256205369,22.030401201116028,15.131109836540528,22.220969349441567,0.9068676908474974,15.609211495134602,21.9233597286607,0.5053597286606992,0.0
0.05442335539422919,21.844967145710488,55.62449996217409,14.84416449501335,22.080302612871233,15.1852427927737,22.283457869053173,0.9763914381423834,15.65630922368449,21.96223355394229,0.544233553942291,0.0
0.05831073792238842,21.874825237515616,55.67238952093215,14.871627858007482,22.130586900440285,15.239274340158763,22.346047797512888,1.0458807919126027,15.703441345759051,22.001107379223882,0.5831073792238844,0.0
0.06219812045054764,21.904598759628318,55.72036364938263,14.898711944582013,22.18125046442894,15.293204844611555,22.40873876890487,1.1153355945367516,15.750608018979676,22.039981204505477,0.6219812045054761,0.0
0.06608550297870687,21.934287848527894,55.76842221104624,14.92542042654289,22.232289633031247,15.347034678867185,22.47153041049402,1.1847556879204841,15.797809401440723,22.078855029787068,0.6608550297870696,0.0
0.06997288550686609,21.96389264166231,55.816565068475015,14.951757043163344,22.283700666973974,15.400764222332757,22.534422342873224,1.2541409135003765,15.845045651705604,22.11772885506866,0.6997288550686613,0.0
0.07386026803502532,21.993413277438705,55.8647920832618,14.97772559627,22.33547976443051,15.454393860938781,22.597414180111972,1.3234911122479398,15.89231692880282,22.15660268035025,0.738602680350253,0.0
0.07774765056318454,22.022849895213923,55.91310311604977,15.003329945371627,22.38762306589206,15.507923986989397,22.660505529906136,1.392806124673707,15.939623392221831,22.195476505631845,0.7774765056318464,0.0
0.08163503309134379,22.05220263528494,55.96149802654193,15.028574002841825,22.44012665898505,15.561354999011458,22.723695993728853,1.4620857908314489,15.986965201908864,22.234350330913436,0.8163503309134382,0.0
0.08552241561950301,22.081471638879332,56.009976673510714,15.053461729166315,22.49298658322374,15.614687301602716,22.786985166982372,1.5313299503224866,16.034342518262605,22.273224156195027,0.8552241561950299,0.0
0.08940979814766223,22.110657048145697,56.05853891480754,15.077997128264807,22.54619883468844,15.667921305279137,22.85037263915073,1.6005384423001072,16.08175550212976,22.312097981476626,0.8940979814766233,0.0
0.09329718067582146,22.139759006144015,56.1071846073724,15.102184242896543,22.599759370619886,15.721057426321499,22.91385799395314,1.6697111054740938,16.12920431480055,22.350971806758217,0.9329718067582133,0.0
0.09718456320398068,22.16877765683607,56.155913607243534,15.126027150158054,22.65366411392156,15.7740960866214,22.97744080949802,1.7388477781153755,16.17668911800405,22.38984563203981,0.9718456320398068,0.0
0.10107194573213991,22.197713145075767,56.204725769567034,15.149529957080711,22.70790895756209,15.827037713526767,23.041120658437425,1.8079482980607555,16.22421007390344,22.4287194573214,1.0107194573213985,0.0
0.10495932826029913,22.226565616599427,56.25362094860655,15.17269679633511,22.76248976887087,15.879882739687016,23.104897108121957,1.877012502717804,16.27176734509117,22.46759328260299,1.0495932826029901,0.0
0.10884671078845838,22.255335218016185,56.30259899775298,15.195531822048414,22.817402393720755,15.932631602897933,23.168769720755815,1.946040229069806,16.319361094583947,22.506467107884582,1.0884671078845836,0.0
