state,cm,eV
3_A_2,0,0.0000
1_E,17682,2.1219
3_T_2,24000,2.8800
1_A_1,31083,3.7299
3_T_1,34111,4.0933
1_T_3,41442,4.9730
1_T_1,46061,5.5273
3_T_1,53339,6.4007
1_E,67229,8.0675
1_T_3,67469,8.0963
1_A_1,95590,11.4708
