10Dq,2_T_2_0,2_T_2_1,2_T_2_2,2_T_2_3,2_T_2_4,2_T_1_0,2_T_1_1,2_T_1_2,2_T_1_3,2_T_1_4,2_E_0,2_E_1,2_E_2,2_E_3,4_T_1_0,4_T_1_1,4_A_2,4_T_2,2_A_1,2_A_2
0.0,16070.508000000002,20660.508000000005,22858.82775528897,34430.508,55189.53224471102,16070.508000000003,20660.508,20660.508,20660.508,34430.508,16070.508,20660.508,22858.827755288967,55189.53224471104,0.0,13770.0,0.0,0.0,16070.508000000002,34430.508
40.04004004004004,16125.924425343768,20703.05432559387,22904.64210924197,34477.19778537091,55239.30559468971,16114.318751421573,20682.734979677258,20718.54696228967,20724.57265727342,34482.60688957832,16116.878635054345,20716.786733376026,22910.822075780514,55235.088755989316,72.05341116205273,13818.066708958066,0.0,40.04004004003946,16110.548040040041,34470.54804004004
80.08008008008008,16181.205755855863,20745.273251524748,22950.86388906731,34523.840508157184,55289.18107587538,16157.662389839665,20705.149706413424,20776.76808783423,20788.640940024718,34534.799356368465,16162.191693232548,20773.49113690831,22963.40872308126,55280.684847178316,144.06937012594972,13866.170870114294,0.0,80.08008008008073,16150.588080080082,34510.58808008008
120.12012012012013,16236.352245777674,20787.163121940754,22997.49447389721,34570.43636037558,55339.158518729484,16200.538258036431,20727.753574163355,20835.166977125882,20852.71665754903,34587.08525384604,16206.461774089741,20830.590819408164,23016.603319070586,55326.32068803212,216.04768076113396,13914.312679599227,0.0,120.12012012012019,16190.628120120122,34550.62812012012
160.16016016016016,16291.364157148071,20828.722672577725,23044.534842933404,34616.98553652168,55389.23775178006,16242.945878654416,20750.547899158988,20893.738924952406,20916.80382241453,34639.46443578063,16249.704386313002,20888.05434539196,23070.42161954053,55371.996449555314,287.9881461892983,13962.492334291184,0.0,160.16016016016147,16230.668160160163,34590.66816016016
200.2002002002002,16346.24175943156,20869.951031430013,23091.985575143168,34663.48823355781,55439.41860163867,16284.88495473532,20773.533917695557,20952.47892043488,20980.906652126712,34691.93675620873,16291.935866827396,20945.8493770891,23124.879453074824,55417.71230400971,359.89056878871634,14010.710031811883,0.0,200.20020020020092,16270.708200200203,34630.7082002002
240.24024024024027,16400.985329140352,20910.847717449502,23139.846850932947,34709.944650901,55489.70089301765,16326.355369954126,20796.712784031824,21011.38164897817,21045.029569070484,34744.50206940685,16333.173298541551,21003.942823532063,23179.992654206137,55463.46842492145,431.75475019879013,14058.965970521931,0.0,240.24024024024038,16310.748240240242,34670.74824024024
280.2802802802803,16455.595149450786,20951.412637307847,23188.118455764597,34756.354990411,55540.08444874746,16367.35718854875,20820.085568413426,21070.44149638844,21109.177198466125,34797.160229864945,16373.434427595424,21062.300995681027,23235.7769910368,55509.26498708815,503.5804913247175,14107.260349516126,0.0,280.28028028028166,16350.788280280283,34710.788280280285
320.3203203203203,16510.071509814217,20991.6460802786,23236.79978565672,34802.71945637816,55590.569089794226,16407.890654946616,20843.6532552285,21129.652555409906,21173.35436407698,34849.91109225992,16412.73758092083,21120.889766463577,23292.248087631357,55555.102166585864,575.3675923423689,14155.59336861859,0.0,320.3203203203193,16390.82832032032,34750.828320320325
360.36036036036035,16564.414705562758,21031.54871131713,23285.889854493438,34849.038255511485,55641.15463527735,16447.95619309026,20867.416741303874,21189.008634920247,21237.5660814183,34902.754511429484,16451.10158486245,21179.67473453944,23349.421341623776,55600.980140776155,647.1158527033203,14203.96522837776,0.0,360.36036036035875,16430.86836036036,34790.868360360364
400.4004004004004,16618.62503751024,21071.12156243511,23335.38730304323,34895.31159692646,55691.84090248735,16487.554405465162,20891.37683435012,21248.50327200112,21301.817548239847,34955.69034234615,16488.54568553567,21238.621390530334,23407.311837622656,55646.89908831336,718.8250711400469,14252.376130061153,0.0,400.40040040040003,16470.908400400403,34830.9084004004
440.4404404404405,16672.702811548417,21110.36602248328,23385.290409573878,34941.539692133316,55742.62770690376,16526.686071834025,20915.534251562927,21308.12974706335,21366.1141320909,35008.71844009145,16525.089471520252,21297.695284388068,23465.934257142275,55692.85918915161,790.4950456713159,14300.826275650006,0.0,440.4404404404395,16510.948440440443,34870.94844044044
480.48048048048054,16726.648338239083,21149.283825471048,23435.59710193478,34987.722755024755,55793.5148622132,16565.352147682373,20939.889618387704,21367.881102156072,21430.461354826337,35061.838659830406,16560.752799408336,21356.86219251128,23525.302785930762,55738.86062455204,862.1255736077346,14349.315867833708,0.0,480.48048048048076,16550.988480480482,34910.98848048048
520.5205205205206,16780.461932402017,21187.87703756332,23486.304970965848,35033.86100186435,55844.502180327574,16603.553762381445,20964.44346745388,21427.750162525077,21494.864873976363,35115.050856786365,16595.555722643214,21416.08828316613,23585.431019703312,55784.90357708997,933.7164515575005,14397.84511000406,0.0,520.5205205205202,16591.028520520522,34951.02852052052
560.5605605605606,16834.143912699168,21226.148042904577,23537.411285082766,35079.954651274355,55895.58947140248,16641.292217075083,20989.196237684388,21487.729561407406,21559.330460980636,35168.35488621586,16629.518424004287,21475.340278722306,23646.331869414138,55830.9882306621,1005.267475432327,14446.414206249354,0.0,560.5605605605597,16631.06856056056,34991.06856056056
600.6006006006007,16887.694601215473,21264.099528426756,23588.913005881812,35126.00392422409,55946.77654385548,16678.56898229817,21014.148273585288,21547.81176795967,21623.863976376586,35221.750603383894,16662.66115201497,21534.585613186908,23708.017467307327,55877.11477049382,1076.7784404535323,14495.02336134827,0.0,600.600600600601,16671.1086006006,35031.10860060061
640.6406406406406,16941.11432303626,21301.734467801383,23640.806804603417,35172.00904401808,55998.06320438473,16715.385695334873,21039.299824719543,21607.989118118778,21688.47134213114,35275.23786353953,16695.00416147566,21593.79258351024,23770.499075070922,55923.283383146394,1148.249141158347,14543.672780763573,0.0,640.6406406406404,16711.14864064064,35071.14864064065
680.6806806806808,16994.403405821853,21339.056104697775,23693.08907929248,35217.97023628419,56049.44925798781,16751.744157325833,21064.651045368282,21668.253848089917,21753.158511408565,35328.8165218915,16726.56765825416,21652.930493152853,23833.786995472154,55969.49425652423,1219.679371406406,14592.362670635637,0.0,680.6806806806817,16751.188680680683,35111.18868068069
720.7207207207207,17047.562179379216,21376.06793550808,23745.755972494615,35263.88772896222,56100.93450798023,16787.64633013389,21090.201994381907,21728.598130052575,21817.93143617147,35382.48643358449,16757.371748402424,21711.969786446785,23897.89048887213,56015.747579882256,1291.0689243864017,14641.09323777576,0.0,720.7207207207211,16791.228720720723,35151.22872072073
760.7607607607608,17100.590975231262,21412.773691695875,23798.803389330846,35309.761752292085,56152.5187560145,16823.09433297889,21115.952635222562,21789.014109577194,21882.796033110677,35436.24745367525,16787.436391611005,21770.882172359226,23962.817696000406,56062.043543833184,1362.417592622969,14689.864689659313,0.0,760.7607607607606,16831.268760760762,35191.268760760766
800.8008008008007,17153.490126183762,21449.17732192029,23852.227015799228,35355.59253880243,56204.20180209908,16858.090438852327,21141.902836198533,21849.493944158163,21947.758148486373,35490.09943710941,16816.78135896224,21829.640736374673,24028.57556831232,56108.38234035479,1433.7251679837427,14738.67723441866,0.0,800.8008008008019,16871.308800800805,35231.308800800805
840.840840840841,17206.259965890174,21485.28297407947,23906.022337158807,35401.38032329915,56255.983444617435,16892.637070723624,21168.052370890433,21910.02984220036,22012.823522532275,35544.04223869837,16845.42619489941,21888.220039353822,24095.169807153667,56154.76416279732,1504.9914416866195,14787.5310808359,0.0,840.8408408408413,16911.348840840845,35271.348840840845
880.880880880881,17258.900828414633,21521.094977408968,23960.18465626047,35447.12534285402,56307.86348034719,16926.736797549853,21194.40091876776,21970.614101750572,22077.997754120734,35598.075713096376,16873.390183292293,21946.596202401124,24162.604812820085,56201.18920589092,1576.2162043072276,14836.426438335413,0.0,880.8808808808808,16951.388880880884,35311.388880880884
920.920920920921,17311.41304779326,21556.6178247601,24014.70911169928,35492.8278367935,56359.84170447941,16960.392330101506,21220.948065993918,22031.239148246495,22143.286266405295,35652.19971477832,16900.692317448924,22004.746976977323,24230.883644425445,56247.6576657529,1647.3992457865788,14885.363516976184,0.0,920.9209209209221,16991.428920920924,35351.428920920924
960.9609609609611,17363.79695759389,21591.85615517261,24069.590695673825,35538.488046687504,56411.91791063792,16993.606516617216,21247.69330641657,22091.89757056752,22208.694274147052,35706.414098017405,16927.351273899407,22062.65179972022,24300.007991289873,56294.16973989533,1718.5403554389395,14934.342527443941,0.0,960.9609609609597,17031.468960960963,35391.46896096096
1001.0010010010011,17416.05289047463,21626.814736844237,24124.824271449805,35584.106216338514,56464.091890898824,17026.382338300602,21274.636042739552,22152.582154712672,22274.22675338984,35760.71871686335,16953.385389758565,22120.29183168419,24369.97815633015,56340.72562723211,1789.6393219599195,14983.363681043085,0.0,1001.001001001001,17071.509001001003,35431.509001001
