state,cm,eV
4_A_2,0,0.0000
2_E,19204,2.3810
2_T_1,20007,2.4806
4_T_2,24000,2.9756
2_T_2,29056,3.6025
4_T_1,33280,4.1262
2_A_1,40068,4.9678
2_T_2,43010,5.3325
2_T_1,43521,5.3959
2_E,45771,5.6749
2_T_1,50015,6.2011
4_T_1,52490,6.5080
2_T_2,56501,7.0053
2_A_2,58428,7.2442
2_T_1,66976,8.3040
2_T_2,69010,8.5561
2_E,70212,8.7052
2_T_1,75950,9.4166
2_T_2,95617,11.8550
2_E,99578,12.3461
