10Dq,2_A_1_0,2_A_1_1,2_A_1_2,2_A_1_3,2_A_2_0,2_A_2_1,2_A_2_2,2_E_0,2_E_1,2_E_2,2_E_3,2_E_4,2_E_5,2_E_6,2_T_1_0,2_T_1_1,2_T_1_2,2_T_1_3,2_T_1_4,2_T_1_5,2_T_1_6,2_T_1_7,2_T_2_0,2_T_2_1,2_T_2_2,2_T_2_3,2_T_2_4,2_T_2_5,2_T_2_6,2_T_2_7,2_T_2_8,2_T_2_9,4_A_1,4_A_2,4_E_0,4_E_1,4_T_1_0,4_T_1_1,4_T_1_2,4_T_2_0,4_T_2_1,4_T_2_2,6_A_1
0.0,40259.999999999985,49720.0,58320.0,71180.0,40260.0,47100.0,53160.0,40259.99999999999,45944.797806497016,49679.99999999999,49720.0,65160.00000000001,71179.99999999997,93795.20219350299,40259.99999999999,47100.0,49680.0,49680.0,49720.0,53159.999999999985,71180.0,85800.0,40259.999999999985,40260.00000000001,45944.797806497016,47100.0,49680.0,49720.0,53160.0,65160.00000000002,71180.0,93795.20219350298,27850.0,45870.0,27850.0,33870.0,27850.0,32970.0,45870.0,27850.0,33870.0,45870.0,0.0
40.04004004004004,40259.99730647824,49719.96332575621,58319.943010505456,71180.09635726007,40259.81249512462,47100.134593419556,53160.05291145582,40259.961326954464,45944.64338259084,49675.150877013206,49724.9943910412,65160.02204317206,71179.97512668226,93795.2528525459,40259.833920994184,47099.90374964995,49676.71423315166,49680.056572438174,49723.38175602026,53160.072542165355,71180.02392782239,85800.01329775804,40259.685257268466,40259.91521415176,45943.51234846428,47100.8441844622,49680.33548632302,49720.41214569135,53159.94715097609,65160.06346230312,71180.05421761729,93795.23053274243,27850.0,45870.0,27850.0,33870.0,27849.73171902306,32970.25048728028,45870.01779369666,27849.961870581417,33869.923658125765,45870.114471292814,0.0
80.08008008008008,40259.98922578641,49719.8533022099,58319.772050163934,71180.38542183978,40259.25003399248,47100.538315311154,53160.211650696365,40259.845303636765,45944.18017225382,49664.45290287172,49736.12811098135,65160.08817350681,71179.90050815181,93795.4048285977,40259.33571899223,47099.61496037054,49668.92187687474,49680.22626335884,49731.46211973528,53160.29015850648,71180.09571096554,85800.05319119633,40258.740997408684,40259.6608484054,45939.67088513855,47103.36183893516,49681.332824183235,49721.657695607326,53159.78864808042,65160.25383997673,71180.21687117516,93795.31555108933,27850.0,45870.0,27850.0,33870.0,27848.927036708366,32971.00178753774,45870.071175753896,27849.847479429885,33869.694647043616,45870.457873526495,0.0
120.12012012012013,40259.975757544715,49719.66992691638,58319.48714339867,71180.86717214022,40258.312777006984,47101.21099065358,53160.476232339424,40259.65191750368,45943.408359550274,49651.77006054019,49749.53700184211,65160.1983934597,71179.77614867652,93795.65811842751,40258.505499003455,47099.13351765515,49659.201538462,49680.50899356674,49741.662603486475,53160.65281856083,71180.21534845751,85800.11968080787,40257.16712563962,40259.23687816979,45933.31732489845,47107.50909930457,49682.965163104076,49723.76346639475,53159.52462395035,65160.57110531771,71180.48796279101,93795.45725042962,27850.0,45870.0,27850.0,33870.0,27847.5864344155,32972.253416510954,45870.16014907355,27849.656817858347,33869.31301036885,45871.0301717728,0.0
160.16016016016016,40259.95690112027,49719.41319580196,58319.0883309051,71181.54157217266,40257.000991245644,47102.152328011114,53160.84668074323,40259.38114764998,45942.32825098738,49638.41872176711,49763.90440045238,65160.35270712285,71179.60205536935,93796.01271665095,40257.343435919494,47098.45923126265,49648.70404102064,49680.90463102463,49752.83258311509,53161.16047156525,71180.38283867814,85800.2127674141,40254.9634847079,40258.64326250568,45924.52220895155,47113.21552690899,49685.18966596913,49726.77220887768,53159.1553000129,65161.01521216823,71180.86749599154,93795.65563390641,27850.0,45870.0,27850.0,33870.0,27845.71071278456,32974.00456872324,45870.2847184922,27849.38987138964,33868.77882077234,45871.831307838016,0.0
200.2002002002002,40259.93265562683,49719.08310316525,58318.575669635844,71182.4085715721,40255.31505006868,47103.36191993214,53161.323029999185,40259.03296480868,45940.940275115834,49624.83873626094,49778.79004967163,65160.55112022441,71179.37823818775,93796.46861573073,40255.84977432877,47097.59183611948,49637.8782164018,49681.412990786404,49764.52350437139,53161.813046467636,71180.5981793594,85800.33245216511,40252.12985595912,40257.879944194574,45913.37910235018,47120.387760025435,49687.950947860634,49730.73912500912,53158.680987034546,65161.58609593701,71181.35547570922,93795.91070592016,27850.0,45870.0,27850.0,33870.0,27843.300989309453,32976.2541199091,45870.44489078145,27849.04661975831,33868.09217994869,45872.861200293,0.0
240.24024024024027,40259.90301992478,49718.6796416787,58317.94923277972,71183.46810561679,40253.25543257298,47104.83924350516,53161.90532392186,40258.60733135122,45939.24498197225,49611.20617383149,49794.01735680638,65160.793640127835,71179.10470993334,93797.02580597748,40254.02482825743,47096.53099357679,49626.91790013487,49682.033834905626,49776.541887057436,53162.61045194332,71180.86136758493,85800.47873653956,40248.66596083602,40256.94684983517,45900.000162088036,47128.91400396908,49691.18651070104,49735.72637263923,53158.10208589641,65162.283673628684,71181.9519082777,93796.22247212855,27850.0,45870.0,27850.0,33870.0,27840.358694964638,32979.0006303871,45870.64067464827,27848.62703691318,33867.2532185716,45874.11974451522,0.0
280.2802802802803,40259.86799262106,49718.20280239088,58317.209109734904,71184.72009525314,40250.82272289336,47106.5836610706,53162.59361603604,40258.10420128802,45937.24304236481,49597.603377279505,49809.503341435135,65161.08027583086,71178.7814862509,93797.68427555077,40251.868980837346,47095.27629301708,49615.917668926355,49682.76687232121,49788.79358634687,53163.552576416216,71181.17239979023,85800.65162234471,40244.57146280079,40255.84388996718,45884.5113442633,47138.66889653218,49694.83373986311,49741.79599321867,53157.41908860057,65163.10784388193,71182.65680142542,93796.59093944683,27850.0,45870.0,27850.0,33870.0,27836.885569908896,32982.242349355605,45870.8720807355,27848.131091020718,33866.262096236656,45875.606812742626,0.0
320.3203203203203,40259.82757206894,49717.652574729065,58316.35540607598,71186.16444712601,40248.017609353315,47108.594421085916,53163.387969560754,40257.52352026887,45934.935247003945,49584.073611118714,49825.20398755599,65161.411037964186,71178.4085856277,93798.44401046057,40249.38268390195,47093.82725380291,49604.92868782686,49683.61175872301,49801.227944181854,53164.63928808474,71181.53127176242,85800.8511117163,40239.845969679256,40254.570959222685,45867.0476746279,47149.518322811324,49698.837020310384,49749.00270650288,53156.63257951428,65164.05848701571,71183.47016426807,93797.01611604751,27850.0,45870.0,27850.0,33870.0,27832.88365829618,32985.97722008133,45871.13912162249,27847.558744469075,33865.1190013915,45877.32225413943,0.0
360.36036036036035,40259.7817563679,49717.02894650244,58315.38824351522,71187.80105361444,40244.84088346838,47110.87065914097,53164.288457390634,40256.86522558362,45932.322505480566,49570.64167861319,49841.093627571594,65161.78593879021,71177.98602939218,93799.30499456864,40246.56645751113,47092.18332755903,49593.98105902804,49684.568096400195,49813.815438789934,53165.8704349529,71181.93797864008,85801.07720711865,40234.489036423336,40253.12793650449,45847.748914543256,47161.3238454534,49703.15301240423,49757.38853406541,53155.743236861614,65165.13546508376,71184.39200729979,93797.49801136067,27850.0,45870.0,27850.0,33870.0,27828.35530222937,32990.20288594492,45871.44181182572,27846.909953872935,33863.82415125341,45879.26589487365,0.0
