state,cm,eV
2_E,0,0.0000
4_T_1,2888,0.3465
2_T_1,21094,2.5313
2_T_2,22023,2.6427
4_T_2,24981,2.9977
2_T_1,27373,3.2847
4_T_1,37639,4.5166
2_T_2,40118,4.8142
2_A_1,42361,5.0833
2_T_1,46025,5.5231
2_E,48388,5.8065
4_A_2,48981,5.8777
2_T_2,50617,6.0740
2_T_1,54711,6.5653
2_T_2,55278,6.6334
2_A_2,61781,7.4137
2_E,65514,7.8617
2_T_1,72585,8.7102
2_E,85462,10.2555
2_T_2,93109,11.1731
