delta_B,2_A_1_0,2_A_1_1,2_A_1_2,2_A_1_3,2_A_2_0,2_A_2_1,2_A_2_2,2_E_0,2_E_1,2_E_2,2_E_3,2_E_4,2_E_5,2_E_6,2_T_1_0,2_T_1_1,2_T_1_2,2_T_1_3,2_T_1_4,2_T_1_5,2_T_1_6,2_T_1_7,2_T_2_0,2_T_2_1,2_T_2_2,2_T_2_3,2_T_2_4,2_T_2_5,2_T_2_6,2_T_2_7,2_T_2_8,2_T_2_9,4_A_1,4_A_2,4_E_0,4_E_1,4_T_1_0,4_T_1_1,4_T_1_2,4_T_2_0,4_T_2_1,4_T_2_2,6_A_1
0.0,46.81395348837208,57.81395348837209,67.81395348837209,82.76744186046511,46.81395348837209,54.76744186046512,61.81395348837209,46.813953488372086,53.42418349592676,57.767441860465105,57.81395348837209,75.76744186046513,82.76744186046508,109.0641885970965,46.813953488372086,54.76744186046512,57.76744186046512,57.76744186046512,57.81395348837209,61.81395348837208,82.76744186046511,99.76744186046511,46.81395348837208,46.8139534883721,53.42418349592676,54.76744186046512,57.76744186046512,57.81395348837209,61.81395348837209,75.76744186046514,82.76744186046511,109.06418859709649,32.383720930232556,53.33720930232558,32.383720930232556,39.383720930232556,32.383720930232556,38.33720930232558,53.33720930232558,32.383720930232556,39.383720930232556,53.33720930232558,0.0
0.04655818609306982,46.81395035637004,57.81391084390257,67.81388722151797,82.76755390379078,46.81373545944724,54.76759836444135,61.81401501332073,46.813908519714495,53.42400393324516,57.76180334536419,57.819760919815344,75.76746749206053,82.76741293800262,109.06424750296036,46.81376037324905,54.76732994145343,57.76362120133914,57.76750764236997,57.81788576281426,61.814037839727156,82.7674696835144,99.76745732297447,46.813587508451704,46.813854900176466,53.42268877728405,54.76842347030488,57.767831960840724,57.81443272754808,61.813892036018714,75.76751565384085,82.76750490420615,109.06422154970049,32.383720930232556,53.33720930232558,32.383720930232556,39.383720930232556,32.38340897560821,38.33750056660498,53.33722999267053,32.38367659369932,39.383632160611356,53.33734240848002,0.0
0.09311637218613963,46.81394096021676,57.8137829095464,67.81368843042318,82.76789002539509,46.81308143487498,54.76806780850134,61.81419959383298,46.813773608879956,53.42346531657421,57.74936384054851,57.83270710579227,75.76754438779862,82.76732617226955,109.06442421929965,46.81318106859562,54.766994139965746,57.754560321947366,57.767704957394,57.82728153457591,61.814290881984284,82.76755315228552,99.7675037106934,46.81248953187056,46.813559126052795,53.41822195946343,54.771350975506,57.76899165602702,57.81588104140387,61.81370773032607,75.76773702322876,82.76769403625019,109.0643204082434,32.383720930232556,53.33720930232558,32.383720930232556,39.383720930232556,32.3824732984981,38.33837417155551,53.33729206483011,32.38354358073242,39.38336586865537,53.3377417134029,0.0
0.13967455827920947,46.8139252994706,57.81356968246091,67.81335714348683,82.76845020016304,46.81199160117091,54.768849989132065,61.81450724690631,46.81354874128335,53.42256785994218,57.73461634946534,57.84829883935129,75.76767255053454,82.76718156822851,109.06471874235757,46.81221569651564,54.76643432285483,57.74325760286279,57.7680337134497,57.83914256219357,61.8147125797219,82.76769226564826,99.7675810241952,46.810659448418164,46.81306613740673,53.41083409871913,54.77617337128438,57.77088972453962,57.81832961208691,61.81340072552366,75.76810593641594,82.76800925905931,109.06448517491816,32.383720930232556,53.33720930232558,32.383720930232556,39.383720930232556,32.38091445862268,38.339829554082506,53.33739552217855,32.383321881230636,39.38292210508006,53.33840717648,0.0
0.18623274437227927,46.81390337339566,57.813271157909256,67.81289340802918,82.76923438624728,46.81046626889029,54.769944567454786,61.81493800086422,46.81323389261626,53.42131191975277,57.71909153693851,57.865005116805094,75.76785198502657,82.7669791341504,109.06513106587319,46.810864460371505,54.76565026891006,57.73105121048911,57.76849375700538,57.85213091059894,61.81530287391308,82.76788702171876,99.76768926443499,46.80809707524175,46.812375886634506,53.400607219711105,54.78280875221976,57.77347635577805,57.821828149857765,61.81297127908476,75.7686223397305,82.76845057673435,109.06471585337955,32.383720930232556,53.33720930232558,32.383720930232556,39.383720930232556,32.37873338695879,38.34186577758516,53.33754037033977,32.38301147836005,39.382300954386444,53.339338730044204,0.0
0.23279093046534904,46.813875180961425,57.81288732926192,67.81229729027423,82.77024252508384,46.80850587217289,54.771351069688535,61.81549189534789,46.8128290288473,53.419697994320735,57.70330085611737,57.88231401124608,75.76808269793536,82.76671888161367,109.06566118108225,46.80912764456834,54.76464166990637,57.71846304232767,57.76908487300744,57.865725005083014,61.81606168193911,82.76813741785976,99.76782843275012,46.804802158092,46.81148830720299,53.387650119011845,54.79114855816911,57.77668714867516,57.82644084303386,61.81241975236575,75.7692861580663,82.76901799501073,109.06501244874437,32.383720930232556,53.33720930232558,32.383720930232556,39.383720930232556,32.37593138291797,38.34448153477802,53.337726617187734,32.38261234855617,39.38150253482406,53.340536279410465,0.0
0.27934911655841893,46.81384072084277,57.81241818799848,67.81156887532525,82.77147454141488,46.806110968108115,54.7730688877967,61.81616898130449,46.812334106222345,53.41772672322355,57.68744903933894,57.900020182332995,75.76836469782306,82.76640082550388,109.066309076718,46.80700561425283,54.76340813206603,57.705718488528916,57.769806784773984,57.87969986867144,61.81698889760851,82.76844345068015,99.76799853085996,46.80077437306514,46.810403313761825,53.372093211730274,54.80106279531289,57.78044943104772,57.83223996818515,61.81174661150745,75.77009729491708,82.76971152125314,109.06537496759134,32.383720930232556,53.33720930232558,32.383720930232556,39.383720930232556,32.372510110423995,38.347675151612904,53.33795427284682,32.382124461526956,39.380526998339064,53.341999702924674,0.0
0.3259073026514887,46.813799991419835,57.811863723710324,67.8107082671336,82.77293034331761,46.80328223592251,54.775097280314654,61.81696932097214,46.81174907126514,53.41539888647071,57.67163183404594,57.918027141203645,75.76869799515215,82.76602498401267,109.06707473901253,46.80449881492714,54.76194917792684,57.69292752200739,57.77065915386187,57.89394603063589,61.81808439118165,82.76880511603515,99.76819956086594,46.79601332883813,46.809120802287424,53.3540829584457,54.81240569364207,57.78469039518966,57.83929766653334,61.81095242860531,75.77105563242085,82.77053116444816,109.06580341796143,32.383720930232556,53.33720930232558,32.383720930232556,39.383720930232556,32.368471592917324,38.35144459227396,53.33822334969244,32.381547780256646,39.37937453050774,53.34372885202631,0.0
0.37246548874455854,46.813752990777836,57.811223924103565,67.80971558846043,82.77460982223954,46.80002047599223,54.777435373355715,61.81789298786134,46.81107386077775,53.41271540349296,57.65589954781246,57.93628370646046,75.76908260228393,82.76559137863686,109.06795815169835,46.801607771979015,54.76026424860804,57.68014963700798,57.77164157991048,57.90840458625797,61.81934800940086,82.76922240902607,99.76843152525151,46.790518569394486,46.80764065025894,53.3337763658464,54.82502130559456,57.78934537245394,57.84767756570102,61.810037883156134,75.77216103141362,82.77147693519544,109.06629780935756,32.383720930232556,53.33720930232558,32.383720930232556,39.383720930232556,32.36381820732114,38.35578746521085,53.33853386235173,32.380882261010555,39.37804535045523,53.345723551324916,0.0
0.4190236748376283,46.81369971670686,57.810498775002834,67.80859098083165,82.77651285304005,46.79632660868416,54.780082161791825,61.8189400667333,46.81030840184142,53.40967733195415,57.64028102164324,57.954760032059994,75.769518533477,82.76510003417695,109.06895929601004,46.79833309012922,54.75835270646399,57.66741983607911,57.77275360046534,57.923041207895274,61.82077957552663,82.7696953240001,99.76869442688215,46.784289577236436,46.805962716865686,53.31133594714332,54.838748657503956,57.7943639679119,57.85742852798303,61.809003763792575,75.77341333149275,82.77254884569743,109.06685815274497,32.383720930232556,53.33720930232558,32.383720930232556,39.383720930232556,32.3585526770109,38.360701030168514,53.33888582770433,32.380127853340625,39.37653971075978,53.34798359869029,0.0
