state,cm,eV
2_E,0,0.0000
4_T_1,2890,0.3583
2_T_1,21094,2.6154
2_T_2,22023,2.7305
4_T_2,24983,3.0975
2_T_1,27373,3.3939
4_T_1,37641,4.6669
2_T_2,40118,4.9740
2_A_1,42361,5.2521
2_T_1,46026,5.7065
2_E,48388,5.9993
4_A_2,48983,6.0731
2_T_2,50617,6.2757
2_T_1,54711,6.7833
2_T_2,55279,6.8537
2_A_2,61781,7.6599
2_E,65514,8.1227
2_T_1,72586,8.9995
2_E,85461,10.5959
2_T_2,93108,11.5439
