10Dq,2_A_1,2_A_2,2_E_0,2_E_1,2_E_2,2_E_3,2_T_1_0,2_T_1_1,2_T_1_2,2_T_1_3,2_T_1_4,2_T_2_0,2_T_2_1,2_T_2_2,2_T_2_3,2_T_2_4,4_A_2,4_T_1_0,4_T_1_1,4_T_2
0.0,17378.0,36798.0,17377.999999999996,22233.0,24652.051309613875,59167.948690386125,17378.0,22233.0,22233.0,22233.0,36798.0,17378.0,22233.0,24652.051309613882,36798.0,59167.948690386125,0.0,0.0,14565.0,0.0
25.09009009009009,17398.078980274964,36818.078980274964,17393.579680366172,22243.130106795827,24665.048429627346,59184.46761422041,17395.48345627247,22238.02479862568,22241.893070535378,22264.33413079467,36810.56935505654,17388.37653595752,22251.349032527305,24668.629198995965,36813.8887186692,59182.06132513476,45.16907036505472,0.0,14580.06787045984,20.078980274964124
50.18018018018018,17418.171748414854,36838.171748414854,17408.77504649041,22253.4522667544,24678.26457844222,59201.0149217922,17412.807817680616,22243.06262797611,22250.869926954765,22295.750866109884,36823.18732317273,17398.71714805434,22269.59763672953,24685.36442062664,36829.774038359756,59196.22531812382,90.35192859503513,0.0,14595.163316649528,40.17174841485394
75.27027027027026,17438.278261682524,36858.27826168253,17423.583434911878,22263.972214525507,24691.6965930414,59217.59053398103,17429.973279661077,22248.112711170434,22259.931335423236,22327.249817873948,36835.853894013664,17409.02174123095,22287.746303342607,24702.2564559178,36845.65587608186,59210.440661569155,135.5485319527961,0.0,14610.28625309478,60.27826168252432
100.36036036036036,17458.39847743993,36878.39847743993,17438.002329915893,22274.695501289014,24705.341346273664,59234.19437192078,17446.98006070109,22253.174296111672,22269.078023643317,22358.830588989997,36848.569057393215,17419.290221676314,22305.795566182293,24719.304742178676,36861.534149265935,59224.70734753607,180.75883780028744,0.0,14625.436594519497,80.39847743992868
125.45045045045045,17478.532353148395,36898.532353148395,17452.0293685383,22285.627487153302,24719.19574945205,59250.82635699948,17463.82840220481,22258.246655014016,22278.310681261442,22390.49277353485,36861.33280327642,17429.52249685371,22323.746001591408,24736.508673144017,36877.408775763855,59239.025367938564,225.98280359884666,0.0,14640.614255846343,100.5323531483973
150.54054054054052,17498.67984636893,36918.67984636893,17465.662345312132,22296.773334021913,24733.256754742048,59267.48641085908,17480.518568346335,22263.32908390144,22287.62996031347,22422.23595696092,36874.14512178194,17439.718475526326,22341.598227819864,24753.86759956964,36893.279673849975,59253.39471453832,271.2203869094701,0.0,14655.81915219732,120.67984636893016
175.6306306306306,17518.840914762462,36938.84091476246,17478.899216733837,22308.13799894455,24747.52135734557,59284.174455395245,17497.05084590948,22268.420902082384,22297.03647570438,22454.05971630093,36887.006003184506,17449.878067782396,22359.35290433947,24771.380829893686,36909.14676222231,59267.81537894384,316.47154539309486,0.0,14671.0511988943,140.8409147624643
200.72072072072072,17539.01551609014,36959.015516090134,17491.738105427667,22319.72622796727,24761.986597487743,59300.890412757115,17513.425544114485,22273.521451604913,22306.53080571815,22485.963620375114,36899.91543791731,17460.001185060075,22377.010731095543,24789.047630961184,36925.00996000361,59282.28735260958,361.73623681086065,0.0,14686.31031145956,161.0155160901395
225.8108108108108,17559.20360821356,36979.20360821356,17504.177303988006,22331.542550495134,24776.649562213264,59317.634205347,17529.64299443187,22278.630096696423,22316.11349255352,22517.947230000766,36912.87341657442,17470.087740171915,22394.572447697774,24806.86722880984,36940.86918674244,59296.810626835046,407.0144190243718,0.0,14701.59640561631,181.20360821356007
250.9009009009009,17579.405149095044,36999.405149095044,17516.215278480304,22343.591274178703,24791.507386999987,59334.40575582027,17545.703550383543,22283.746223191694,22325.78504288217,22550.010098203686,36925.87992991324,17480.137647328993,22412.038832552913,24824.83880951434,36956.724362414236,59311.38519276384,452.3060499959465,0.0,14716.90939728919,201.40514909504418
275.990990990991,17599.62009679788,37019.62009679788,17527.85067158358,22355.87648033463,24806.557257197343,59351.20498708492,17561.607587331502,22288.869237952582,22335.545928425934,22582.151770431454,36938.93496885693,17490.150822164658,22429.410701941928,24842.96152008643,36972.575407422555,59326.011041382844,497.61108778886955,0.0,14732.249202604764,221.62009679787843
