delta_B,2_A_1,2_A_2,2_E_0,2_E_1,2_E_2,2_E_3,2_T_1_0,2_T_1_1,2_T_1_2,2_T_1_3,2_T_1_4,2_T_2_0,2_T_2_1,2_T_2_2,2_T_2_3,2_T_2_4,4_A_2,4_T_1_0,4_T_1_1,4_T_2
0.0,17.897013388259527,37.89701338825952,17.897013388259523,22.897013388259527,25.38831236829441,60.93506559257067,17.897013388259527,22.897013388259527,22.897013388259527,22.897013388259527,37.89701338825952,17.897013388259527,22.897013388259527,25.38831236829442,37.89701338825952,60.93506559257067,0.0,0.0,15.0,0.0
0.02583943366641616,17.91769204971675,37.91769204971675,17.913058373188644,22.90744604201424,25.40169766182013,60.952077872523596,17.915019007489672,22.902188258110897,22.906172060283602,22.929283347883285,37.909958141149886,17.907699831058206,22.915910435146554,25.405385374867112,37.91337664126591,60.949599716925604,0.04651809512364029,0.0,15.015517889248033,0.020678661457223607
0.05167886733283232,17.93838491082889,37.938384910828894,17.928707565901554,22.918076484814005,25.41530852568715,60.969119383926056,17.932860780309593,22.90737654786417,22.915417020550738,22.961638379103896,37.922952958983245,17.91834927708995,22.934704054304355,25.4226204125918,37.92973639377936,60.96418673339219,0.0930503899021989,0.0,15.0310641778059,0.041371522569365535
0.07751830099924846,17.959091927582413,37.95909192758242,17.943958223390194,22.928910622580336,25.42914170241133,60.98619004529457,17.950538907992872,22.91257745743608,22.92474905810838,22.994078082259474,37.935997831116026,17.92896162845618,22.953394751125238,25.440016947392174,37.94609256033147,60.978826633953815,0.13959684032213812,0.0,15.04663877764653,0.06207853932288807
0.10335773466566464,17.979813056065836,37.97981305606584,17.958807754805246,22.939954172285287,25.443193971445588,61.003289775407595,17.9680536155521,22.917790212267427,22.934168922392704,23.026602048393407,37.9490927470579,17.939536788544093,22.971983075367962,25.457574399772067,37.96244505588665,60.99351941043879,0.1861574024719747,0.0,15.062241600946958,0.08279966780631172
0.12919716833208078,18.000548252470026,38.000548252470026,17.97325372660999,22.951212654122866,25.45746215185587,61.020418493305336,17.985405151601245,22.923014062836266,22.94367732364721,23.059209859459166,37.96223769647417,17.950074662053257,22.990469620588474,25.47529214535944,37.97879379584331,61.00826505451963,0.2327320325425815,0.0,15.077872560088922,0.10353486421050186
0.15503660199849692,18.021297473088495,38.021297473088495,17.987293867468725,22.96269138416263,25.47194310478069,61.03757611828947,18.00259378820426,22.928248284141546,22.953274933381532,23.09190108852824,37.97543266918841,17.960575155021964,23.008855023501404,25.49316951551971,37.99513869603499,61.02306355771197,0.27932068682746664,0.0,15.093531567659443,0.1242840848289703
0.1808760356649131,18.042060674317675,38.042060674317675,18.000926072846383,22.97439546750211,25.486633735680297,61.054762569923014,18.019619820710073,22.933492175162083,22.962962384865477,23.12467530000096,37.988677655184866,17.97103817485314,23.02713996327443,25.51120579803675,38.011479672731525,61.037914911373676,0.3259233217230637,0.0,15.10921853645139,0.14504728605815068
0.20671546933132928,18.0628378126572,38.06283781265719,18.014148409297288,22.986329791933336,25.501530996382847,61.07197776802998,18.036483567574134,22.93874505829548,22.972740273654118,23.157532049819892,38.00197264461103,17.981463630339935,23.04532516075751,25.529400237859097,38.027816642640175,61.05281910670399,0.3725398937290017,0.0,15.124933379464016,0.16582442439767198
0.23255490299774542,18.083628844710155,38.083628844710155,18.02695911842225,22.99849902213711,25.51663188693436,61.08922163269516,18.053185370166705,22.944006278781075,22.982609158139567,23.19047088568565,38.015317627780036,17.991851431690954,23.06341137764961,25.547752037909206,38.044149522906736,61.06777613474258,0.41917035944837466,0.0,15.140676009903512,0.1866154564506283
