10Dq,3_T_1_0,3_T_1_1,3_T_1_2,3_T_1_3,3_T_1_4,3_T_1_5,3_T_1_6,1_T_2_0,1_T_2_1,1_T_2_2,1_T_2_3,1_T_2_4,1_T_2_5,1_T_2_6,1_A_1_0,1_A_1_1,1_A_1_2,1_A_1_3,1_A_1_4,1_E_1_0,1_E_1_1,1_E_1_2,1_E_1_3,1_E_1_4,3_T_2_0,3_T_2_1,3_T_2_2,3_T_2_3,3_T_2_4,1_T_1_0,1_T_1_1,1_T_1_2,1_T_1_3,3_E_1_0,3_E_1_1,3_E_1_2,3_A_2_0,3_A_2_1,1_A_2_0,1_A_2_1,5_E_1,5_T_2,3_A_1
0.0,21878.572,21878.572000000004,24971.881778106643,25142.37651570213,26733.572,55414.69648429789,55585.19122189335,32817.857999999986,32817.858,35157.9850298256,42141.99600402459,47382.85799999999,63393.65997017439,83597.64899597541,32817.85799999999,35157.9850298256,40569.90244139314,63393.6599701744,109604.95755860687,32817.85799999999,35157.9850298256,42141.99600402458,63393.65997017438,83597.64899597538,21878.572,25142.376515702133,26733.572,33530.572,55414.69648429788,32817.858,35157.985029825606,47382.85799999999,63393.659970174405,21878.572,26733.572,33530.572,25142.376515702126,55414.69648429788,32817.858,47382.858,0.0,0.0,26733.572
40.04004004004004,21873.434609751024,21915.242613303668,24985.13599533566,25152.8605128043,26761.961769638296,55434.15962440086,55602.18699488632,32818.73385926848,32858.52464712261,35205.532675559385,42140.233685337735,47397.5853886717,63387.05830609197,83622.31555806825,32802.565796488954,35140.58096200687,40586.15872379559,63434.09490732464,109621.00265042394,32861.3461501441,35169.3044700895,42184.6810285196,63413.206123450334,83600.73034791659,21883.786776138782,25161.156775484196,26727.389170439477,33538.19667283295,55429.29964514467,32810.19041742694,35157.41846219511,47402.895882912766,63421.89627750525,21910.5620471917,26753.019575633196,33559.21445725519,25175.16687133159,55421.946168708455,32849.87239136897,47390.88364867107,40.04004004003946,0.0,26773.61204004004
80.08008008008008,21867.930834341638,21951.275940021063,24993.08134530102,25168.847854335054,26791.081111256135,55451.70861112588,55621.17654385945,32819.4606400224,32898.95445162074,35253.25557222723,42138.469544205145,47412.40558706155,63380.52538215847,83647.03306294468,32785.805563467016,35124.06367877023,40602.88985582355,63474.57804607055,109637.10593594871,32904.44233041873,35180.91313185415,42227.37221667488,63432.84297201236,83603.81758928018,21888.75533520469,25179.861742782647,26721.432580148317,33545.81779254326,55444.00162940117,32801.75282819089,35157.54020341768,47422.96952924096,63450.17851923057,21942.467493254902,26772.46726353281,33587.941403372446,25207.94149500451,55429.21158507557,32881.85138489643,47398.94469518365,80.08008008007891,0.0,26813.65208008008
120.12012012012013,21862.06155007718,21986.662003374437,24996.685229246894,25189.371873048527,26820.938322524817,55467.39173798606,55642.11164410246,32820.04552975405,32939.14956728839,35301.14222286691,42136.70462931016,47427.31969556813,63374.061223793244,83671.80149177945,32767.574775893307,35108.44500526542,40620.087408483916,63515.10845198714,109653.2674784904,32947.13398425086,35192.82405928888,42270.06864221246,63452.57093576726,83606.91073884089,21893.48003943943,25198.4763794096,26715.714519228568,33553.43603727289,55458.80214476965,32792.55388870557,35158.341752312874,47443.07899622862,63478.506482873054,21974.287386219166,26791.91656900124,33616.75228501983,25240.70034685014,55436.49277326999,32913.794805333106,47407.04131478702,120.12012012011837,0.0,26853.69212012012
160.16016016016016,21855.827510293584,22021.390973543752,24997.251729170588,25213.130389334357,26851.540506575184,55481.37257917517,55664.82879238788,32820.49524428162,32979.1121341877,35349.181592078705,42134.94000394932,47442.32882490815,63367.665855162944,83696.620825912,32747.874881261054,35093.73265371063,40637.743082087574,63555.68520154365,109669.48734155728,32989.40818937987,35205.050655303705,42312.769385155705,63472.39043516892,83610.00981547227,21897.963248923483,25216.98501514108,26710.24790836974,33561.052089770055,55473.7008979558,32782.60344790844,35159.81341319276,47463.2243421486,63506.879956910365,22006.02076785324,26811.369004375607,33645.64654809147,25273.44338691242,55443.78977324774,32945.702476797414,47415.17368336275,160.16016016015783,0.0,26893.732160160158
200.2002002002002,21849.22936272475,22055.453216414295,24995.914167182596,25238.99317578186,26882.89348195276,55493.88487710425,55689.09431944012,32820.81606143157,33018.84427466559,35397.36307614423,42133.17674629466,47457.43409602174,63361.33929919824,83721.49104684457,32726.711293729808,35079.93022778792,40655.84870788587,63596.30738194233,109685.7655888543,33031.251675099105,35217.6066644984,42355.47353166515,63492.30189119026,83613.1148381477,21902.207318582427,25235.371333781997,26705.046315735373,33568.666637406015,55488.697594694386,32771.912463610126,35161.94437955992,47483.4056262578,63535.298730772345,22037.666673845153,26830.826088717684,33674.62363783756,25306.17057515006,55451.10262505014,32977.57422277899,47423.34197742121,200.2002002001973,0.0,26933.772200200197
240.24024024024027,21842.267666717176,22088.83934611438,24993.48622335099,25266.150845435062,26915.001706760137,55505.18241447064,55714.654517872375,32821.01385229014,33058.34808957784,35445.676475370885,42131.41594965957,47472.63663997184,63355.08157761044,83746.41213623996,32704.09332761823,35067.03728816833,40674.39624921358,63636.9740909594,109702.10228428069,33072.65084436933,35230.5061512348,42398.180173880566,63512.30572529509,83616.22582594096,21906.214595346188,25253.618362642876,26700.123970284538,33576.28037219188,55503.791939774776,32760.492912127855,35164.72282452104,47503.6229087529,63563.76259483847,22069.22413399231,26850.289347496047,33703.682998992124,25338.881871436606,55458.431368803635,33009.40986614222,47431.54637409802,240.24024024024038,0.0,26973.812240240237
280.2802802802803,21834.942910234437,22121.54028115542,24990.510286116878,25294.066488521952,26947.868218361797,55515.50296204812,55741.27169440227,32821.094110169375,33097.625654722906,35494.111968515,42129.658722768,47487.93759783721,63348.89271090858,83771.38407591978,32680.034072684393,35055.0494766922,40693.37780218758,63677.68443678882,109718.49749192732,33113.591801269526,35243.76347236592,42440.88840976881,63532.40235940922,83619.34279802738,21909.987415461972,25271.70846639322,26695.49577056332,33583.89399079564,55518.983637066114,32748.357692863312,35168.13599625511,47523.87625072674,63592.27134043512,22100.69217240174,26869.76031226034,33732.824075898476,25371.5772355605,55465.77604471978,33041.20922912998,47439.7870511503,280.28028028027984,0.0,27013.852280280276
320.3203203203203,21827.255526594323,22153.54730389773,24987.342375029988,25322.3907171781,26981.49458971612,55525.05064589526,55768.74180264947,32821.06197743284,33136.67901748468,35542.66008913827,42127.906190027,47503.33812059929,63342.772718416716,83796.40684786215,32654.550215628216,35043.95869472426,40712.785596005604,63718.43753788792,109734.95127607432,33154.06038423512,35257.39324417255,42483.59734297758,63552.592215891375,83622.46577368437,21913.52810196065,25289.623346386255,26691.177287871375,33591.508194559145,55534.27238954291,32735.520529482375,35172.17031687924,47544.16571412572,63620.824759833034,22132.06980770083,26889.240520307412,33762.0463126324,25404.256627225128,55473.13669309519,33072.97213336751,47448.06418695282,320.32032032032294,0.0,27053.892320320323
360.36036036036035,21819.205910881417,22184.85212296844,24984.219012842448,25350.894740856016,27015.880903035893,55533.991909375254,55796.898481121636,32820.92227032364,33175.51019368507,35591.31170375581,42126.15949180289,47518.839369022404,63336.72161829147,83821.48043419982,32627.661813978993,35033.753329478495,40732.61199288831,63759.23252282578,109751.46370118883,33194.04220550215,35271.41030308861,42526.306082694515,63572.87571750325,83625.59477229256,21916.83896227558,25307.34404668018,26687.184762579487,33599.12368951528,55549.65789930987,32721.99586930414,35176.81148310443,47564.49136170748,63649.42264624435,22163.356053258543,26908.731514339222,33791.34915312296,25436.92000604891,55480.51335431145,33104.698399866305,47456.377960494065,360.3603603603624,0.0,27093.932360360363
