state,cm,eV
1_A_1,0,0.0000
5_T_2,9977,1.1973
3_T_1,11611,1.3933
3_T_2,17402,2.0883
1_T_1,21313,2.5576
3_T_1,33014,3.9617
1_T_2,33079,3.9694
5_E_1,33977,4.0773
3_T_2,34358,4.1230
3_E_1,37003,4.4403
3_T_1,37638,4.5165
3_T_2,41449,4.9738
1_T_2,44679,5.3615
1_E_1,44984,5.3981
1_A_1,46123,5.5348
3_A_2,50371,6.0446
1_T_1,51537,6.1844
1_A_2,52477,6.2973
1_T_2,54055,6.4866
3_T_1,55703,6.6844
3_E_1,57310,6.8772
3_T_2,60052,7.2063
3_A_1,60711,7.2853
3_T_1,60760,7.2912
1_E_1,62632,7.5159
3_E_1,65762,7.8915
1_T_2,65880,7.9056
1_E_1,69834,8.3801
1_A_2,71678,8.6014
1_A_1,74017,8.8820
3_A_2,74140,8.8968
1_T_2,75462,9.0554
1_T_1,75495,9.0594
3_T_1,82559,9.9071
3_T_2,83325,9.9990
1_T_2,88802,10.6563
3_T_1,92162,11.0594
1_A_1,94059,11.2870
1_T_1,94317,11.3180
1_E_1,96062,11.5274
1_E_1,105483,12.6580
1_T_2,117194,14.0633
1_A_1,141232,16.9478
