state,cm,eV
6_A_1,0,0.0000
2_T_2,641,0.0795
4_T_1,7081,0.8779
4_T_2,13164,1.6322
2_A_2,20392,2.5282
2_T_1,20681,2.5641
2_T_2,22712,2.8159
2_E,24771,3.0713
4_A_1,27850,3.4530
4_E,27850,3.4530
2_T_1,30359,3.7640
4_T_2,30668,3.8024
2_T_2,33344,4.1341
4_E,33870,4.1993
2_A_1,34998,4.3391
2_E,38668,4.7942
2_A_1,41660,5.1652
4_T_1,42470,5.2656
2_T_2,42599,5.2816
4_A_2,45870,5.6872
2_E,46378,5.7501
2_T_2,48917,6.0650
2_T_1,48951,6.0692
2_A_2,50420,6.2512
2_T_1,50549,6.2673
2_A_1,54779,6.7917
2_E,55636,6.8980
4_T_1,57139,7.0843
2_T_1,58405,7.2413
2_T_2,60849,7.5443
4_T_2,63758,7.9049
2_E,66833,8.2862
2_T_1,69035,8.5593
2_A_2,69709,8.6428
2_T_2,74452,9.2309
2_T_1,76716,9.5116
2_E,76953,9.5410
2_T_2,81298,10.0796
2_T_2,82640,10.2460
2_A_1,88043,10.9160
2_T_1,91884,11.3922
2_E,106501,13.2044
2_T_2,108808,13.4905
