10Dq,2_T_2_0,2_T_2_1,2_T_2_2,2_T_2_3,2_T_2_4,2_T_2_5,2_T_2_6,2_T_2_7,2_T_2_8,2_T_2_9,2_T_1_0,2_T_1_1,2_T_1_2,2_T_1_3,2_T_1_4,2_T_1_5,2_T_1_6,2_T_1_7,2_E_0,2_E_1,2_E_2,2_E_3,2_E_4,2_E_5,2_E_6,2_A_1_0,2_A_1_1,2_A_1_2,2_A_1_3,2_A_2_0,2_A_2_1,2_A_2_2,4_T_1_0,4_T_1_1,4_T_1_2,4_T_2_0,4_T_2_1,4_T_2_2,4_E_0,4_E_1,6_A_1,4_A_1,4_A_2
0.0,40261.76,40261.76000000001,45946.828010759695,47102.20000000001,49682.200000000004,49721.759999999995,53161.76,65162.200000000004,71182.2,93798.01198924032,40261.759999999995,47102.200000000004,49682.2,49682.2,49721.759999999995,53161.76000000002,71182.19999999998,85802.19999999998,40261.76000000001,45946.8280107597,49682.20000000001,49721.76000000001,65162.20000000001,71182.19999999998,93798.01198924032,40261.76,49721.76,58321.759999999995,71182.2,40261.76,47102.200000000004,53161.759999999995,27851.100000000002,32971.54,45871.53999999999,27851.100000000002,33871.1,45871.53999999999,27851.100000000002,33871.100000000006,0.0,27851.100000000002,45871.54
40.04004004004004,40261.44527287451,40261.675218966615,45945.542726592204,47103.043969541715,49682.53371293,49722.17393702679,53161.70715689979,65162.26346032253,71182.25421634718,93798.04032849873,40261.59392964337,47102.10372237308,49678.883214510555,49682.25655356207,49725.17280151164,53161.83255352313,71182.22392728845,85802.21329758769,40261.721328354804,45946.67359596786,49677.306234890166,49726.79902346179,65162.222042944064,71182.1751269958,93798.06264738545,40261.75730651658,49721.72332650815,58321.70301245524,71182.29635452005,40261.572507184945,47102.334577517206,53161.81291529785,27850.831740979716,32971.79046575809,45871.557793262196,27851.061871512422,33871.0236609248,45871.65446756278,27851.100000000002,33871.100000000006,0.0,27851.100000000002,45871.54
80.08008008008008,40260.50105983939,40261.42086766554,45941.70177847036,47105.560985607255,49683.52567915288,49723.42491242912,53161.5486717832,65162.45383205518,71182.41686609472,93798.12534690241,40261.09575358328,47101.81485128956,49671.04419482164,49682.42618784818,49733.29990917983,53162.05020393261,71182.29570882981,85802.25319051516,40261.60530923867,45946.2104129596,49666.55286068753,49737.98811436961,65162.28817259481,71182.10050940583,93798.21462074394,40261.749225939726,49721.61330521763,58321.532057962366,71182.58541088029,40261.01008222293,47102.73825171228,53161.9716660648,27850.02712449465,32972.54170148936,45871.611174016,27850.947483154,33870.79465823849,45871.997858607516,27851.100000000002,33871.100000000006,0.0,27851.100000000002,45871.54
120.12012012012013,40258.927266133316,40260.996921507794,45935.34905620358,47109.70720253989,49685.14892692908,49725.53986418042,53161.284677311596,65162.77108749708,71182.68795136001,93798.26704633725,40260.26557681185,47101.333272322125,49661.29135583175,49682.708823644396,49743.533027711324,53162.41292075118,71182.4153436521,85802.31967927529,40261.41193010979,45945.438645756345,49653.83577392366,49751.431201219544,65162.398391407725,71181.97615149779,93798.46790608513,40261.73575788971,49721.429933683816,58321.24716094269,71183.06714748379,40260.07288548486,47103.4108475956,53162.23626691954,27848.68663178356,32973.79322305333,45871.700145163115,27850.75682623805,33870.413035552505,45872.57013820945,27851.100000000002,33871.100000000006,0.0,27851.100000000002,45871.54
160.16016016016016,40256.72373453551,40260.40333955767,45926.55507196081,47115.41221053539,49687.36052463246,49728.561637715844,53160.91539495204,65163.21518049434,71183.06747566978,93798.46542994626,40259.10357419208,47100.658795361946,49650.77319126691,49683.10432888248,49754.72386228034,53162.92065319134,71182.58283013545,85802.4127646895,40261.14117006544,45944.358600794076,49640.46311203546,49765.819855220965,65162.552703474874,71181.80206038427,93798.82249802494,40261.716901733605,49721.17320783314,58320.84836208829,71183.74152834497,40258.76118399414,47104.35207378406,53162.606742221826,27846.81106328585,32975.54422517423,45871.82471153992,27850.489886287985,33869.87886553135,45873.371248180665,27851.100000000002,33871.100000000006,0.0,27851.100000000002,45871.54
200.2002002002002,40253.890246436815,40259.64006460165,45915.41335379748,47122.58268462385,49690.1051632558,49732.54535920976,53160.44113552754,65163.786046460955,71183.55544395657,93798.72050212958,40257.60999027245,47099.791155520485,49639.933880083496,49683.612518573376,49766.428511463964,53163.573330166524,71182.79816601187,85802.53244790788,40260.792999841986,45942.97070652404,49626.86872227216,49780.719821788596,65162.75111452445,71181.57824602228,93799.27838902645,40261.69265658523,49720.84312196431,58320.335718347196,71184.60850310329,40257.07535103542,47105.5615228994,53163.08312606519,27844.401536215926,32977.79358386636,45871.98487991771,27850.146643039174,33869.192249860665,45874.40110710016,27851.100000000002,33871.100000000006,0.0,27851.100000000002,45871.54
240.24024024024027,40250.42652333736,40258.70702324477,45902.03601666207,47131.106871869386,49693.32073612996,49737.552795256575,53159.862299992456,65164.48360240863,71184.15186255405,93799.03226854475,40255.785139027794,47098.730014386485,49628.96443015225,49684.233154715956,49778.45632263509,53164.3708603082,71183.06134836524,85802.67873040904,40260.36738181533,45941.27551285557,49613.22569306847,49795.957489727065,65162.99363191988,71181.30472121277,93799.8355694009,40261.66302130501,49720.43966874994,58319.70930290231,71185.66800704277,40255.01586560881,47107.03867212424,53163.665462266945,27841.459481191247,32980.539859805656,45872.180659003105,27849.727070441513,33868.35331920267,45875.65961035582,27851.100000000002,33871.100000000006,0.0,27851.100000000002,45871.54
280.2802802802803,40246.332228768515,40257.604126034435,45886.548972459,47140.85945392138,49696.94540743869,49743.64520865725,53159.17938043909,65165.30774698437,71184.85673919076,93799.40073610653,40253.6294035275,47097.47496163252,49617.95783006689,49684.965946183285,49790.71473897179,53165.313131986586,71183.37237363125,85802.85161400022,40259.86427000127,45939.27369044209,49599.61483841208,49811.45140757735,65163.280264658904,71180.98150159974,93800.49402730855,40261.6279944999,49719.9628392388,58318.969205144516,71186.9199611168,40252.583311731294,47108.78288391351,53164.353804355196,27837.986637937982,32983.78130262356,45872.41205943846,27849.23113666275,33867.36223313894,45877.14663019832,27851.100000000002,33871.100000000006,0.0,27851.100000000002,45871.54
320.3203203203203,40241.606970636196,40256.33126761166,45869.08720315884,47151.706359295604,49700.9246632037,49750.87621826461,53158.392961342695,65166.25836051714,71185.67008298238,93799.8259129872,40251.14323553143,47096.02551696339,49606.96432535423,49685.81054858878,49803.15402181093,53166.40001333674,71183.73123759741,85803.05110081706,40259.28361005595,45936.96602981224,49586.078580782516,49827.15840154735,65163.61102337228,71180.60860566952,93801.25374876015,40261.587574523204,49719.41262285839,58318.11553063987,71188.36427197853,40249.77837758778,47110.7934068593,53165.14821555291,27833.985050103965,32987.515856093465,45872.67909380257,27848.65880409257,33866.219180100554,45878.86201580688,27851.100000000002,33871.100000000006,0.0,27851.100000000002,45871.54
360.36036036036035,40236.25030398271,40254.88832688957,45849.79042877119,47163.509191619065,49705.21639088029,49759.28661869187,53157.50372105361,65167.33530507222,71186.59190442316,93800.30780861634,40248.32715501494,47094.381132398026,49596.013459765585,49686.766564135105,49815.74520767,53167.63135228984,71184.13793540257,85803.27719332394,40258.625339276565,45934.35344034881,49572.64122762173,49843.053300062704,65163.98592032238,71180.18605474955,93802.11471761833,40261.541759474465,49718.78900741816,58317.148401090795,71190.00083201657,40246.60185453481,47113.069376705986,53166.048768759196,27829.45705921494,32991.741164173756,45872.98177661131,27848.010029347413,33864.924377285766,45880.80559336682,27851.100000000002,33871.100000000006,0.0,27851.100000000002,45871.54
